Question,Date,Answer,T,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology,,
What autograding software do folks use for Java code?,23/01/2017,8,t,,,,,,,,,,,,,,,,,,1,,,,,597
Is it possible to ensure division of labor on a group assignment?,23/05/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Objects Lab Before Inheritance and Polymorphism,23/05/2017,11,t,1,,,1,,,,,,,,,,,,,,,,,,,
Teaching Induction to Prove the Correctness of Algorithms,23/05/2017,3,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Should the first Programming/Algorithms class be taught in pseudo-code?,23/05/2017,9,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Cheating on labs,23/05/2017,11,t,,,,1,,1,,,,,,,,,,,,,,,,,
Analogy for teaching recursion,23/05/2017,31,t,,,,1,,,,1,,,,,,,,,,,,,,,
Using Processing as an entry point in an Introductory Course,23/05/2017,6,t,,,,,,,,,,,,,,,,,,,,,,,
Should assembly language be taught in an introductory course (or soon after)?,23/05/2017,12,t,,,,1,,,,,,,,,,,,,,,,,,,
How can I convey the idea of a programming language vs. a markup language?,23/05/2017,8,t,1,,,1,,,,1,,,,,,,,,,,,,,,
"When teaching Web Development, should server or client side come first?",23/05/2017,10,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Recommended IDE for teaching web development to beginners,23/05/2017,10,t,,,,1,,,,1,,,,,,,,,,1,,,,,
What are effective approaches for teaching dynamic programming?,23/05/2017,3,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Using microcontrollers in an Introductory course,23/05/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
When should concurrency and parallel multi-processing concepts be introduced?,23/05/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
What are pre-requisites for teaching version control to a high school CS class?,23/05/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
How does one create a balanced AI curriculum in light of the popularity of Deep Learning?,23/05/2017,2,t,1,1,,1,,,,,,,,,,,,,,,1,,,,
How can I integrate teaching source code control (Git/Mercurial/etc) into my introductory CS class?,23/05/2017,2,t,,,,,,,,,,,,,,,,,,,,,,,
Do automatic style hints help students to understand the language they're learning?,23/05/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
How to raise students' security awareness in programming?,23/05/2017,6,t,1,,,1,,,,,,,,,,,,,,,,,,,
What to consider when choosing version of Python?,23/05/2017,1,t,,,,1,,,,,,,,,,,,,,1,,,,,
"In a course about Turing machines, how many questions like ""Construct a Turing Machine that does X"" should I include?",23/05/2017,1,t,1,,,1,,,,,,,,,,,,,,,,,,,
Should I have written tests on basic programming skills?,23/05/2017,9,t,,,,1,,1,,,,,,,,,,,,,,,,,
Should I teach modern web development in an introductory programming course? How?,23/05/2017,4,t,1,,,1,,,,,,,,,,,,,,,1,,,,
Best Practices / Effective Strategies For Building Diversity In High School CS Programs,24/05/2017,2,t,,1,,1,,,,,,,,,,,,,,,,,,,
Scheme vs Haskell for introducing functional programming,24/05/2017,4,t,1,,,1,,,,,,,,,,,,,,,1,,,,
What qualities should be considered when designing a front end project?,24/05/2017,1,t,,1,,1,,,,,,,,,,,,,,,,,,,
What can Snap! do that Scratch cannot?,24/05/2017,3,t,,,,1,,,,,,,,,,,,,,1,,,,,
Explaining basic html structure,24/05/2017,8,t,,,,1,,,,,,,,,,,,,,,,,,,
How to encourage participation in the national olympiad in informatics?,24/05/2017,3,t,,,,,,,,,,,,,,,,,,,,1,,,
"Database theory (normalization) for beginners (adult education, MS Access)",24/05/2017,1,t,,1,,1,,,,,,,,,,,,,,,,,,,
How to get girls more interested in computer science?,24/05/2017,4,t,,,,,,,,,,,,,,,,,,,,,,,
How to teach the importance of indentation,24/05/2017,13,t,,,,1,,,,1,,,,,,,,,,,,,,,
How to explain to people the importance of algorithms in computer programming?,24/05/2017,3,t,,,,1,,,,1,,,,,,,,,,,,,,,
The use of the Octal system,24/05/2017,8,t,1,,,,,,,,,,,,,,,,,,,,,,
Designing rubrics for AP Computer Science-style free response questions,24/05/2017,1,t,,,,,,1,,,,,,,,,,,,,,,,,
What is a good analogy for the Object Oriented paradigm?,24/05/2017,18,t,,,,1,,,,,,,,,,,,,,,,,,,
Command-line Java in AP CS A,25/05/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
Programming languages specifically designed for beginners,25/05/2017,13,t,,1,,1,,,,,,,,,,,,,,,,,,,
How can I maintain interest in front end?,25/05/2017,5,t,,,,1,,,,,,,,,,,,,,,,1,,,
Presenting Mapping Reducibility (for P vs NP),25/05/2017,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
What are the merits of including the history of computers in the entry level curriculum?,25/05/2017,6,t,,,,1,,,,,,,,,,,,,,,1,,,,
Do I need Prolog to teach logic concepts?,25/05/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
"How do you structure broad, open-ended, freely chosen projects so that students use class time wisely?",26/05/2017,4,t,,,,1,,,,,,,,,,,,,,,1,1,,,
Teaching students to hunt for and debug their own errors,26/05/2017,5,t,,,,1,,,,1,,,,,,,,,,,,,,,
Programming curriculum for elderly students,26/05/2017,6,t,,1,,,,,,,,,,,,,,,,,,,,,
Dealing with students who complete labs very quickly,26/05/2017,12,t,,1,,,,,,,,,,,,,,,,,,,,,
"Lesson Idea: Arrays, Pointers, and Syntactic Sugar",27/05/2017,7,t,,,,1,,,,1,,,,,,,,,,,,,,,
Is it more effective to teach low level languages before high level ones or vice versa?,27/05/2017,6,t,,,,1,,,,,,,,,,,,,,,,,,,
Real life examples of 0-indexing,27/05/2017,21,t,,,,1,,,,,,,,,,,,,,,,,,,
Ruby backend framework choice: Ruby on Rails vs Sinatra,27/05/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Encourage students to be independent,27/05/2017,6,t,,,,,,,,,1,,,,,,,,,,,,,,
Self guided learning about audio processing,27/05/2017,2,t,1,1,,,,,,,,,,,,,,,,,,,,,
How can I discourage poor design while using automatic grading of submissions?,28/05/2017,7,t,,,,,,,,,,,,,,,,,,,,1,,,
How to avoid getting emotionally attached to my students' projects?,28/05/2017,3,t,,,,,,,,,1,,,,,,,,,,,,,,
Analogy for static objects (or members),28/05/2017,7,t,,,,1,,,,,,,,,,,,,,,,,,,
Workflow for Code Submission,29/05/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Introducing A* Search Algorithm,30/05/2017,2,t,,1,,,,,,,1,,,,,,,,,,,,,,
Are userscripts a good teaching tool?,30/05/2017,2,t,,,,,,,,,,,,,,,,,,1,1,,,,
Simple Pointer Examples in C,30/05/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Effectiveness of Parsons Problems,30/05/2017,5,t,1,,,,,,,,,,,,,,,,,1,,,,,
How to illustrate scope problem when creating variables inside `if` statements in Java,30/05/2017,7,t,,,,1,,,,1,,,,,,,,,,,,,,,
"Note-taking policy: laptops, or by hand?",01/06/2017,16,t,,,,1,,,,,,,,,,,,,,,,,,,
Supplementing Curriculum with Online Resources,01/06/2017,4,t,,,,,,,,,,,,,,,,,,1,,,,,
Video Games during class,01/06/2017,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Computers are down; what's in your bag of tricks for teaching CS when they can't get on a computer?,01/06/2017,9,t,,,,,,,,,,,,,,,,,,1,,,,,
Final exam advice,01/06/2017,2,t,,,,,,1,,,,,,,,,,,,1,,,,,
What makes imperative programming easier or harder to learn?,01/06/2017,4,t,1,1,,,,,,1,,,,,,,,,,,,,,,
Assignments for Introductory Level Processing,02/06/2017,3,t,,,,,,1,,,,,,,,,,,,,1,1,,,
"What program follows ""hello, world""?",02/06/2017,17,t,,,,1,,,,,,,,,,,,,,1,,,,,
Excel macro recorder exercises,02/06/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Assessing programming skills of students under 18 years,02/06/2017,2,t,,,,,,1,,,,,,,,,,,,1,,,,,
What are good sample programs for learning to use a debugger?,02/06/2017,4,t,,,,,,,,,1,,,,,,,,,1,,,,,
"Significant algorithm from CS for DrRacket that emphasize cons, car, and cdr",03/06/2017,1,t,,,,,,,,,,,,,,,,,,1,,,,,
In-class server access limits,03/06/2017,2,t,,,,,,,,,,,,,,,,1,,1,,,,,
Introducing self containing objects (Node),03/06/2017,3,t,,,,,,,,1,,,,,,,,,,,,,,,
Basic OOP practice exercises for inheritance and polymorphism,03/06/2017,4,t,,,,1,,,,,,,,,,,,,,1,,,,,
How to provide individual grades for group project work?,03/06/2017,6,t,,,,,,1,,,,,,,,,,,,,,,,,
Most beneficial CodingBat problems for AP CS A FRQs,04/06/2017,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
Teaching coding paradigms and concepts with specific context,04/06/2017,2,t,,,,1,,,,1,,,,,,,,,,,,,,,
How can I show the value of best practices?,04/06/2017,11,t,,,,1,,,,1,,,,,,,,,,,,,,,
Teaching loop invariant choice,05/06/2017,7,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Good beginning assembly language for teaching about stack function calls,05/06/2017,2,t,,,,,,,,,,,,,,,,1,,1,,,,,
Scope and Sequence for Raspberry Pi Course,05/06/2017,2,t,1,,,,,,,,,,,,,,,,,,1,,,,
Instructional Methods for In-class Code Demos,06/06/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Problematic student at a very high level,06/06/2017,13,t,,1,,,,,,,,,,,,,,,,,,,,,
Demographics in Programming Teams in Early CS Courses,06/06/2017,3,t,,1,,,,,,,,,,,,,,,,,,,,,
What are good projects for metaprogramming?,07/06/2017,3,t,,,,1,,,,,,,,,,,,,,1,,,,,
Colors in Blocks-based Languages,07/06/2017,3,t,,,,1,,,,,,,,,,,,,,,,,,,
"How to respond when students ask ""is recursion good practice""?",07/06/2017,13,t,,,,1,,,,1,1,,,,,,,,,,,,,,
Suggestions for encouraging good Coding Practices?,07/06/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
How can I incorporate agile development into CS1/CS2 courses?,07/06/2017,6,t,,,,1,,,,,,,,,,,,,,,,,,,
What are good/bad topics for a non-major CS0 course?,07/06/2017,3,t,,,,,,,,1,,,,,,,,,,,1,,,,
Genetic Algorithm enrichment lesson,08/06/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Why is the critical-section problem always presented with code in infinite loops?,08/06/2017,2,t,1,,,,,,,,,,,,,,,,,,,,,,
Learning about the Blockchain,08/06/2017,1,t,1,,,,,,,,,,,,,,,,,,1,,,,
Deep Learning Teaching Resources,08/06/2017,4,t,,,,,,,,,,,,,,,,,,1,,,,,
Homework Policy for Advanced/Honors Students,09/06/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
How to teach students not to use jump statements,09/06/2017,9,t,,,,1,,,,,,,,,,,,,,,,,,,
Teaching identifier naming conventions,09/06/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
The importance of writing understandable code [duplicate],09/06/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Analogy for abstract classes,09/06/2017,6,t,1,,,1,,,,1,,,,,,,,,,,,,,,
Teaching Other Markup Languages,09/06/2017,3,t,,,,,,,,,,,,,,,,,,,1,,,,
How to teach which loop should be used,10/06/2017,4,t,,,,1,,,,1,,,,,,,,,,,,,,,
Explaining how an Interface is a contract,11/06/2017,10,t,,,,1,,,,1,,,,,,,,,,,,,,,
Teaching with just a single Makey Makey and Sphero,11/06/2017,2,t,,,,,,,,,,,,,,,,,,1,,1,,,
What is a good analogy for pass by value vs by reference?,11/06/2017,12,t,,,,1,,,,1,,,,,,,,,,,,,,,
How can I set up Eclipse/eGit/GitHub in a way that is easy for students?,12/06/2017,3,t,,,,,,,,1,,,,,,,,1,,,,,,,
Motivating examples for switch/case in Java,12/06/2017,2,t,,,,1,,,,1,,,,,,,,,,,,,,,
How can I explain lambda calculus to my class?,12/06/2017,1,t,,,,1,,,,1,,,,,,,,,,,,,,,
Integrating Graph Theory into AP CS A,12/06/2017,3,t,,,,,,,,,,,,,,,,,,1,1,,,,
How to explain lambda expressions,13/06/2017,2,t,,,,1,,,,1,,,,,,,,,,,,,,,
How to bring attention to computational complexity?,13/06/2017,6,t,,,,,,,,1,1,,,,,,,,,,,,,,
Should CS students be doing their tests on paper?,13/06/2017,24,t,,,,,,1,,,,,,,,,,,,,,,,,
Introducing the MVC pattern along with JavaFX,14/06/2017,2,t,,,,1,,,,,,,,,,,,,,1,,,,,
How to teach to write optimized code,14/06/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Pseudocode or Flowcharts?,14/06/2017,5,t,,,,1,,,,,,,,,,,,,,1,,,,,
"Interview lesson on ""Computational Thinking""",14/06/2017,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Justification for an objects-early approach to introductory programming,14/06/2017,9,t,,,,1,,,,,,,,,,,,,,,,,,,
Opportunities for Interdepartmental Collaboration,15/06/2017,4,t,,,,,,,,,,,,,,,,,,1,,,,,
How can I help my students to think algorithmically?,15/06/2017,17,t,,,,1,,,,1,1,,,,,,,,,,,,,,
Looking for a block-based programming language for AP CS P,15/06/2017,7,t,,,,,,,,,,,,,,,,,,1,,,,,
Thoughts on copying and pasting code?,16/06/2017,6,t,,,,1,,,,,,,,,,,,,,,,,,,
Intuitive example of an NP problem,16/06/2017,7,t,1,,,,,,,1,,,,,,,,,,,,,,,
When should I scrap my projector for a blackboard?,16/06/2017,7,t,,,,1,,,,,,,,,,,,,,,,,,,
What would be a good first choice to teach game programming to beginners?,16/06/2017,5,t,,1,,,,,,,,,,,,,,,,,,,,,
How is your teaching affected by how you learned?,16/06/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
"Do you see the ""Bimodal Distribution"" too?",17/06/2017,5,t,,1,,,,,,,,,,,,,,,,,,,,,
Do your students pay attention when you speak?,17/06/2017,11,t,,,,,,,,,,,,,,,,,,,,,,,
Explaining pointers to highschoolers,17/06/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
What to gather feedback on?,17/06/2017,3,t,1,,,,,,,,,,,,,,,,,,,,,,
Principles of SOLID in OOP using analogy,18/06/2017,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
What is the best layout for a Middle School computer lab?,18/06/2017,3,t,,,,,,,,,,,,,,,,,,,,,,,
What are some good examples of using a stack data structure?,18/06/2017,19,t,1,,,1,,,,,,,,,,,,,,,,,,,
Benefits of explaining low-level architecture in a programming class,18/06/2017,5,t,1,,,1,,,,,,,,,,,,,,,1,,,,
How to teach the value of the command line in high school?,18/06/2017,22,t,,,,1,,,,,,,,,,,,,,,,,,,
Introducing image processing - Should I teach the math,19/06/2017,3,t,,,,1,,,,,,,,1,,,,,,,1,,,,
How do I convince my students that visual programming is real programming?,20/06/2017,14,t,,,,1,,,,,,,,,,,,,,,1,,,,
How to stress the importance of testing code?,20/06/2017,11,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Do you use any teaching assistant tool in your CS1 lab classes?,21/06/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Should unit testing be taught in introductory programming classes?,21/06/2017,6,t,,,,,,,,,,,,,,,,,,,1,,,,
How do I scaffold students toward building meaningful projects?,21/06/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
What statistics should be in a computer science degree?,21/06/2017,4,t,,,,,,,,,,,,,,,,,,,1,,,,
How to deal with very low performing students?,21/06/2017,7,t,,1,,,,,,,,,,,,,,,,,,,,,
Is asking students to debug existing code better than having them write new code?,22/06/2017,12,t,,,,,,,,,,,,,,,,,,,1,,,,
How to overcome the TDD/BDD time fallacy,22/06/2017,10,t,,,,1,,,,,,,,,,,,,,1,,,,,
How important is learning Binary for first-year college students?,22/06/2017,12,t,,,,,,,,,,,,,,,,,,,1,,,,
Can sharing learning stats be beneficial to guide beginner students?,23/06/2017,4,t,,,,,,,,1,,,,,,,,,,,1,,,,
Transition from Java to Python,24/06/2017,4,t,,,,1,,,,1,,,,,,,,,,,,,,,
Priority Queue practice vs examples,24/06/2017,2,t,,1,,,,,,,,,,,,,,,,,,,,,
To what extent should UML be covered in the context of a degree?,24/06/2017,1,t,,,,,,,,,,,,,,,,,,,,1,,,
Balance between teaching and projects in a club,24/06/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
How do I teach ethics in hacking using analogies?,25/06/2017,6,t,,,,1,,,,,,,,,,,,,,,,,,,
Should test cases be made available to students for assessed assignments?,25/06/2017,9,t,,,,,,1,,,,,,,,,,,,,,,,,
How should floating point inaccuracies be explained and justified?,25/06/2017,7,t,,,,1,,,,,,,,,,,,,,,,,,,
A quick ruby crash course,25/06/2017,2,t,,1,,,,,,,,,,,,,,,,1,,,,,
Starting open source,25/06/2017,9,t,,,,,,,,,,,,,,,,,,1,,,,,
Curriculum Design for a Unit on Alan Turing and His Impact on CS,25/06/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Multi-client to server connection demonstration using analogy,26/06/2017,1,t,,,,1,,,,,,,,,,,,,,,,,,,
How to teach a flipped course based on the AI MOOC?,26/06/2017,3,t,,,,1,,,,,,,,,,,,,,1,,,,,
How to prepare students for bias in industry,26/06/2017,9,t,,1,,,,,,,,,,,,,,,,,,,,,
Demonstrating the possible dangers of SQL injection,27/06/2017,8,t,,,,,,,,1,1,,,,,,,,,,,,,,
Uses of high school Computer Science: where can it lead other than university CS?,27/06/2017,8,t,,,,,,,,,,,,,,,,,,,1,,,,
Curriculum choice for AP Computer Science Principles,27/06/2017,13,t,,,,,,,,,,,,,,,,,,1,1,,,,
Dealing with students who are overly motivated,28/06/2017,5,t,,1,,,,,,,,,,,,,,,,,,,,,
Talking about new/active subfields of CS to inspire students,28/06/2017,9,t,,,,,,,,,,,,,,,,,,1,1,,,,
How to supplement Khan Academy,28/06/2017,33,t,,,,1,,1,,,,,,,,,,,,,,,,,
How can I automate the grading of programming assignments?,28/06/2017,11,t,,1,,,,,,,,,,,,,,,,1,,,,,
How can I prepare CS majors for non-programming jobs?,29/06/2017,5,t,,1,,,,,,,,,,,,,,,,,,,,,
Explaining access levels and visibility in OOP,29/06/2017,11,t,,,,1,,,,,,,,,,,,,,,,,,,
Is it worthwhile for college professors to join SIGCSE?,29/06/2017,5,t,,,,,,,,,,,,,,,,,,,,,,,
Is it worth it for high school teachers to join SIGCSE?,29/06/2017,3,t,,,,,,,,,,,,,,,,,,,,,,,
How to teach competitive programming?,30/06/2017,9,t,,,,1,,,,,1,,,,,,,,,,,,,,
How to integrate CS when learning about DNA/RNA/protein,30/06/2017,4,t,,,,,,,,,,,,,,,,,,1,,1,,,
Event-driven or polling for beginning programming environments?,01/07/2017,3,t,,,,1,,,,,,,,,,,,,,,,,,,
How to deal with students that don't like CS?,01/07/2017,4,t,,,,,,,,,,,,,,,,,,,,,,,
How should educators ensure their curriculum remains relevant over time?,01/07/2017,6,t,,,,,,,,,,,,,,,,,,,1,,,,
"Teaching ""math function"" vs. ""CS function""",01/07/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
"How do I teach ""math equality"" vs. ""CS assignment"" vs. ""CS equality logic operator""?",01/07/2017,13,t,,,,1,,,,,,,,,,,,,,,,,,,
"Teaching ""CS integer"" vs. ""math integer""",01/07/2017,3,t,,,,1,,,,,,,,,,,,,,,,,,,
How to adapt pair programming to a shared terminal environment like Cloud9?,01/07/2017,3,t,,,,,,,,,,,,,,,,,,,,1,,,
Classroom use of a limited port scan in the wild?,01/07/2017,4,t,,,,,,,,,,,,,,,,,,,1,,,,
"How to communicate expectations around ""rabbit holes""?",01/07/2017,3,t,,,,,,,,,,,,,,,,,,1,,1,,,
What would be a good analogy for IP addresses and ports?,02/07/2017,8,t,,,,1,,,,,,,,,,,,,,,,,,,
How can I convince my fellow CS teachers that reaching every student is a worthwhile goal?,02/07/2017,9,t,,1,,,,,,,,,,,,,,,,,,,,,
"How important is ""delivering the content"" of a course?",02/07/2017,5,t,,,,,,,,,,,,,,,,,,,1,,,,
Do Python and Java lead students to construct different mental models of memory?,02/07/2017,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Lambda expressions exercises and practice,03/07/2017,4,t,,,,,,,,,,,,,,,,,,1,,,,,
"Where can a student independently learn elementary recursion, preferably in Java?",03/07/2017,6,t,,1,,,,,,,,,,,,,,,,1,,,,,
What advantages/disadvantages have you seen with Pair Programming in the classroom,03/07/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
What are effective ways to prepare students for the AP CS Principles Exam?,03/07/2017,3,t,,1,,,,1,,,,,,,,,,,,,,,,,
Good datasets for intro CS courses?,03/07/2017,5,t,,,,,,,,,,,,,,,,,,1,,,,,
Is there a compilation of AP CSP scores by curriculum?,03/07/2017,2,t,,,,,,1,,,,,,,,,,,,,,,,,
How should students be encouraged to reflect and improve after summative assessment?,04/07/2017,2,t,,,,,,1,,,,,,,,,,,,,,,,,
How do I approach teaching Python to 12-year-olds as a first-time teacher?,04/07/2017,10,t,1,,,1,,,,,,,,,,,,,,,,,,,
How do you encourage students to take criticism of their code constructively?,05/07/2017,14,t,,,,,,1,,,,,,,,,,,,,,,,,
What is a good analogy to introduce databases and SQL?,05/07/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
What are the benefits/uses of a SMART Board in CS education (or are there none)?,05/07/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
The impact of switching to Java 10,05/07/2017,4,t,,,,,,,,,,,,,,,,,,1,,,,,
How do you make your CS lectures more interesting?,06/07/2017,7,t,,,,1,,,,,,,,,,,,,,,,1,,,
Should teachers enforce standardization of spacing and braces?,06/07/2017,10,t,,,,1,,,,,,,,,,,,,,,,,,,
Unit Review for boolean algebra,07/07/2017,3,t,,,,1,,,,,,,,,,,,,,1,,1,,,
Should Java Static space and Memory Model be a part of AP CS,07/07/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
How to document the developed work using an agile methodology?,07/07/2017,3,t,,,,1,,1,,,,,,,,,,,,,,,,,
Explaining how the Internet and the World Wide Web work,07/07/2017,5,t,,,,1,,,,,,,,,,,,,,1,,,,,
"Uses of selection in programming (if, switch etc) with examples",07/07/2017,5,t,1,,,1,,,,,,,,,,,,,,,,,,,
How to tell a student that s/he should enroll in a different program?,07/07/2017,9,t,,1,,,,,,,,,,,,,,,,,,,,,
What should a teacher do with information about plagiarism before the final submission,08/07/2017,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Best practices for letters of recommendation in CS,08/07/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Avoiding difficulties when teaching with metaphors and analogies,08/07/2017,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Review of Information Theory Lab,09/07/2017,2,t,,1,,1,,,,,1,,,,,,,,,,,,,,
Working with students with specific secondary skill,10/07/2017,2,t,,1,,,,,,,,,,,,,,,,,,,,,
What are good models for an Honors Program for CS students?,10/07/2017,3,t,,,,,,,,,,,,,,,,,,,1,,,,
What would be reasonable to include in an Introduction to AI class for a 7th-8th grade after school program?,10/07/2017,4,t,,,,,,,,,,,,,,,,,,,1,,,,
What are good models for a Tutorial System for lagging CS students?,10/07/2017,3,t,,1,,,,,,,,,,,,,,,,1,,,,,
"How to make term reports, easy to do (and secondly effective, and accurate)",10/07/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Advances in CS appropriate for CS1 and CS2 made by female computer scientists,10/07/2017,18,t,,,,,,,,,,,,,,,,,,1,,,,,
"When a student submits a work that is a copy from a colleague, should you also punish the student that made the work?",10/07/2017,14,t,,,,,,1,,,,,,,,,,,,,,,,,
Best puzzle type to foster logical thinking,11/07/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Working on practical projects as a team - good or bad?,11/07/2017,3,t,,,,1,,,,,,,,,,,,,,1,,,,,
Evaluating resources for teaching myself reinforcement learning,11/07/2017,3,t,1,,,,,,,,,,,,,,,,,1,,,,,
Who should own the intellectual property on a program developed in classes?,12/07/2017,4,t,,,,,,,,,,,,,,,,,,,,,,,
CS-oriented Ice-Breaker Games,12/07/2017,10,t,,,,,,,,,,,,,,,,,,1,,1,,,
Teaching the humble for loop,13/07/2017,14,t,,,,1,,,,,,,,,,,,,,,,,,,
Teaching the tradeoffs of the foreach loop,14/07/2017,12,t,,,,1,,,,,,,,,,,,,,,,,,,
Is it important to teach pointers in a first course using Java?,15/07/2017,20,t,,,,,,,,,,,,,,,,,,,1,,,,
Is SICP appropriate for an advanced high school CS course?,16/07/2017,3,t,,,,,,,,,,,,,,,,,,,1,,,,
How can I help students develop intuition about a programming language?,17/07/2017,4,t,,1,,,,,,,,,,,,,,,,,,,,,
Jargon/Vocab about variables--- yes or no?,17/07/2017,6,t,,,,,,,,1,,,,,,,,,,,1,,,,
What 'procedural' habits to break when teaching 'functional' programming?,17/07/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Lesson ideas for introducing macros in C,18/07/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Active learning for boolean algebra,18/07/2017,8,t,,,,,,,,,,,,,,,,,,1,,,,,
Lesson plan for teaching java graphics,19/07/2017,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Placement of App Inventor in high school CS curriculum,19/07/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
How should I advise an undergraduate who wants a career teaching CS?,20/07/2017,6,t,,,,,,,,,,,,,,,,,,,,,,,
Order to Teach Topics in an Intro Programming Class,20/07/2017,8,t,,,,,,,,,,,,,,,,,,,1,,,,
