Question,Date,Answer,T,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology,,
How do I explain blockchain using an analogy?,20/07/2017,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Why would mutation be considered by some as a difficult concept to grasp?,20/07/2017,6,t,,,,,,,,1,,,,,,,,,,,1,,,,
Framework choice for AP CS A students: Swing or JavaFX?,21/07/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
How can I make database normalization more clear?,21/07/2017,6,t,,,,1,,,,1,,,,,,,,,,,,,,,
Teaching high-level versus low-level concepts,22/07/2017,5,t,,,,,,,,,,,,,,,,,,,1,,,,
Ideas for introducing databases to Android development students,23/07/2017,1,t,1,,,,,,,,,,,,,,,,,1,,,,,
Teaching syntactic sugar,23/07/2017,3,t,,,,1,,,,1,,,,,,,,,,,,,,,
How do I teach git to a teenager,24/07/2017,24,t,1,,,1,,,,,,,,,,,,,,1,,,,,
The order of subjects in beginner's curriculum,24/07/2017,9,t,,,,,,,,,,,,,,,,,,,1,,,,
How to teach students to work with multiple layers of abstraction?,25/07/2017,4,t,,,,1,,,,1,1,,,,,,,,,,,,,,
Working around language quirks,26/07/2017,6,t,,,,1,,,,,,,,,,,,,,,,,,,
Testing students on recursion - tracing by hand / unplugged,26/07/2017,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Avoiding confusion about precedence,26/07/2017,4,t,1,,,,,,,,,,,,,,,,,,,,,,
The Tao of TeaChing (Making Mistakes in Front of the Class),27/07/2017,9,t,1,,,,,,,,,,,,,,,,,,,,,,
How to teach algorithms: implementation or application?,27/07/2017,3,t,,,,1,,,,,,,,,,,,,,,1,,,,
Lab ideas for information theory,28/07/2017,1,t,,,,1,,,,,,,,,,,,,,1,,,,,
What can the instructor do to overcome the Authenticity Bias in students?,29/07/2017,5,t,,1,,,,,,,1,,,,,,,,,,,,,,
Explaining why styling should not be done directly in HTML,30/07/2017,13,t,,,,1,,,,,,,,,,,,,,,,,,,
What should be in a CyberSecurity Course in secondary school?,30/07/2017,3,t,,,,,,,,,,,,,,,,,,,1,,,,
How do I teach about inequity in computing resources?,31/07/2017,4,t,,,,,,,,,,,,,,,,,,1,,,,,
Differentiating Inclusive from Exclusive Or,31/07/2017,5,t,,,,1,,,,,,,,,,,,,,,,1,,,
Dealing with students who are underly-motivated,01/08/2017,8,t,,1,,,,,,1,,,,,,,,,,,,,,,
Does/should a CS education include information about responsible use of human subjects in research,01/08/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
What is a good way to explain computer viruses?,01/08/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Curricular Support for a CyberPatriot Club,02/08/2017,1,t,,,,,,,,,,,,,,,,,,1,,1,,,
What ethical practices do students (as potential software engineers) need to be trained in?,02/08/2017,10,t,,,,,,,,,,,,,,,,,,,1,,,,
Teaching when to use MyBlocks,02/08/2017,3,t,,,,1,,,,,1,,,,,,,,,,,,,,
What can CS educators do to help teachers of other subjects include computing in their teaching?,03/08/2017,3,t,,,,,,,,,,,,,,,,,,,,,,,
What's a good initial lesson for teaching arduino?,03/08/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
"What are some good real-life examples of pipelining, latency, and throughput?",03/08/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Should students be taught to be first and foremost: scientists or mathematicians?,04/08/2017,4,t,,,,,,,,,,,,,,,,,,,1,,,,
Books to use for iOS App Development,04/08/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
How to best use lab periods,04/08/2017,5,t,,,,1,,,,,,,,,,,,,,,,,,,
How to convey how much computing power has grown since the 1960s?,04/08/2017,25,t,,,,1,,,,,,,,,,,,,,,1,,,,
What is a good design for a Capstone Course in CS?,05/08/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Effective ways of teaching regex to students who know Java,05/08/2017,4,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Books that summarize pedagogical research within our field,07/08/2017,2,t,1,,,,,,,,,,,,,,,,,1,,,,,
What part does formal Ethics training play in your curriculum?,07/08/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
Using zyBooks and labs,08/08/2017,4,t,,,,,,,,,,,,,,,,,,1,,,,,
Learning fundamental differences between functional programming and Object Oriented Programming,09/08/2017,11,t,1,,,,,,,,,,,,,,,,,1,,,,,
Breaking down the operations when auto-casting gets complex,09/08/2017,5,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Incorporating algorithmic complexity in grading,10/08/2017,3,t,,,,,,1,,,,,,,,,,,,,,,,,
Strategies for independent learners to identify gaps in their knowledge,11/08/2017,4,t,,,,,,1,,,,,,,,,,,,,,,,,
How can I determine if a student would enjoy or has an aptitude for CS?,11/08/2017,8,t,,1,,,,,,,1,,,,,,,,,,,1,,,
Ways to advance the field of computer science education as a non-researcher,12/08/2017,4,t,1,,,,,,,,,,,,,,,,,,,,,,
"Teaching OOP in Java, to students who already know Java",13/08/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Independent research on bootcamp job placement claims,13/08/2017,2,t,1,,,,,,,,,,,,,,,,,,,,,,
Strategies for self-learners to transition into working on larger projects,14/08/2017,7,t,,,,,,,,1,,,,,,,,,,1,,,,,
"How to explain combinatorical principles like the rule of product to students who ""just don't get it""?",15/08/2017,3,t,,1,,1,,,,1,,,,,,,,,,,,,,,
"Good, Motivating Examples for Algorithmic Complexity",16/08/2017,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
How to introduce Scala to a team of Java developers without being boring?,16/08/2017,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Techniques for encouraging pair programming,17/08/2017,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Exercises for teaching GUI / Windows interaction basics,17/08/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Introducing Pair Programming,18/08/2017,2,t,,,,1,,,,,,,,,,,,,,,,,,,
What hardware can I use when teaching Compiler Language and Assembly Code,18/08/2017,4,t,,,,,,,,,,,,,,,,1,,1,,,,,
Distance or Part-Time Graduate/Doctoral Study,19/08/2017,1,t,1,,,,,,,,,,,,,,,,,,,,,,
Paper Books or eBooks?,21/08/2017,6,t,,,,,,,,,,,,,,,,,,1,,,,,
Tools or methods to make projected code easier to follow,21/08/2017,7,t,,,,,,,,,,,,,,,,,,1,,,,,
What are some examples that could be used when teaching subroutines or methods in the context of OO?,22/08/2017,6,t,1,,,1,,,,,,,,,,,,,,,,,,,
Students can solve programming exercises but not explain their solutions. What to do?,23/08/2017,8,t,,,,,,,,1,,,,,,,,,,1,,,,,
What professional development events or conferences are out there for CS educators?,23/08/2017,4,t,1,,,,,,,,,,,,,,,,,,,,,,
Intensive basic VBA course - which variables to teach?,25/08/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
How to effectively teach strings and string literal constants?,25/08/2017,4,t,,,,1,,,,1,,,,,,,,,,,,,,,
How to teach Stack Overflow more efficiently?,26/08/2017,7,t,1,,,1,,,,,,,,,,,,,,,,,,,
How many lines does your code have?,26/08/2017,8,t,1,,,,,,,,,,,,,,,,,,,,,,
Finishing College with Employable Skills,27/08/2017,6,t,,,,,,,,,,,,,,,,,,,1,,,,
"How to answer ""functional programming is useless""?",28/08/2017,12,t,,1,,1,,,,1,,,,,,,,,,,,,,,
IDE vs Editor and terminal for CS1,29/08/2017,9,t,,,,1,,,,,,,,,,,,,,,,,,,
Workshops on Cloud (Azure),29/08/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
LINQ to SQL alternative C# Visual Studio 2017 MVC,29/08/2017,2,t,1,,,1,,,,,,,,,,,,,,,1,,,,
How can we motivate students to review each other's code?,29/08/2017,9,t,,,,,,1,,,,,,,,,,,,,,,,,
How can I effectively manage peer evaluation among my students?,29/08/2017,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Introduction to programming class: use Spreadsheets to introduce fundamentals,30/08/2017,7,t,,1,,,,,,,,,,,,,,,,,1,,,,
Course for the more practical aspects of software development,30/08/2017,2,t,,1,,1,,,,,,,,,,,,,,,,,,,
Best Practices for introductory teaching,31/08/2017,2,t,,,,1,,,,1,1,,,,,,,,,,,,,,
Teaching a blind high school student,31/08/2017,7,t,,1,,1,,,,,,,,,,,,,,,,,,,
"Teaching C#, Java, etc. to students who are bad at OOP",01/09/2017,3,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Minecraft to teach programming?,01/09/2017,3,t,1,,,1,,,,,,,,,,,,,,1,,,,,
Good example of what isn't a system call?,01/09/2017,1,t,,,,1,,,,,,,,,,,,,,,,,,,
What could be the possible advantages of teaching Scheme as first programming language?,02/09/2017,11,t,,,,,,,,,,,,,,,,,,1,,,,,
Choosing Java-like language for teaching web development,04/09/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
How to teach beginning students how to find and fix syntax errors?,04/09/2017,5,t,,,,1,,,,1,,,,,,,,,,,,,,,
Helping students adjust to using industrial-strength IDEs,05/09/2017,6,t,,,,1,,,,1,,,,,,,,,,,,,,,
Plagiarism checks for source code,05/09/2017,4,t,,,,,,1,,,,,,,,,,,,,,,,,
Introducing file systems to students who really don't understand,05/09/2017,3,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Is there any purpose to having students do fiddly cache homework assignments?,06/09/2017,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Does teaching an intro course with a functional language really help level the playing field?,06/09/2017,1,t,,1,,,,,,,,,,,,,,,,,1,,,,
To plan or not to plan that is the question,10/09/2017,17,t,,,,,,,,,1,,,,,,,,,,,,,,
Is it a good idea to have students see syntax much earlier than they write it themselves?,11/09/2017,2,t,,1,,1,,,,,,,,,,,,,,,1,,,,
Show students the consequences of their design decisions,11/09/2017,5,t,,,,,,,,,,,,,,,,,,,1,,,,
Why don't more universities teach revision control?,11/09/2017,14,t,,,,,,,,,,,,,,,,,,,1,,,,
Is the CRT still relevant when introducing display hardware,12/09/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
One lecture on VCS: What needs to be covered?,12/09/2017,2,t,1,,,,,,,,,,,,,,,,,,1,,,,
Mini-Projects that can be covered in an 1 hour Haskell tutorial,13/09/2017,2,t,,1,,,,,,,,,,,,,,,,,1,,,,
Functional Programming - using F sharp,13/09/2017,2,t,1,,,,,,,,,,,,,,,,,1,,,,,
Teaching information security to students without basic IT knowledge,14/09/2017,2,t,,1,,,,,,,,,,,,,,,,,1,,,,
Scheme - Which implementation to use for teaching,15/09/2017,3,t,1,,,,,,,,,,,,,,,,,,1,,,,
How to motivate game design/development students to do more than the minimum on homework,19/09/2017,4,t,,,,,,1,,,1,,,,,,,,,,,,,,
Gifted Student Presentations,20/09/2017,3,t,1,1,,,,,,,,,,,,,,,,1,,,,,
Giving Students a Break,21/09/2017,4,t,,,,,,,,,,,,,,,,,,,,1,,,
Physical analogy to introduce a Delegate in .Net programming,22/09/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
What does a certification program for CS high school teachers need to include?,23/09/2017,3,t,1,,,,,,,,,,,,,,,,,1,,,,,
Teaching interaction design to potentially disinterested students,25/09/2017,2,t,,1,,,,,,,,,,,,,,,,1,,,,,
Pick-me-up exercises for after-lunch brain death,26/09/2017,3,t,,,,,,,,,,,,,,,,,,,,1,,,
Advantages of teaching basic javascript through typescript,27/09/2017,2,t,,,,,,,,,,,,,,,,,,,1,,,,
Is there any value in teaching goto statement or flowcharts?,27/09/2017,16,t,1,,,,,,,,,,,,,,,,,,1,,,,
Is there any value in teaching pseudo code?,28/09/2017,3,t,,,,,,,,,,,,,,,,,,,1,,,,
How do I convince students to use Boolean algebra?,28/09/2017,6,t,1,,,1,,,,1,,,,,,,,,,,,,,,
How to answer questions about how I became interested in programming?,29/09/2017,3,t,,,,,,,,,,,,,,,,,,,,,,,
Example for For vs While Loop (in Java),01/10/2017,7,t,1,,,1,,,,,,,,,,,,,,,,,,,
Using physical activity to explain the nested for loop,03/10/2017,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Teaching students that printf() is not the same as return using analogy,04/10/2017,21,t,,,,1,,,,1,,,,,,,,,,,,,,,
Is it bad to introduce language features in ways that are different than they will be used in practice?,04/10/2017,1,t,1,,,1,,,,,,,,,,,,,,,,,,,
"Teaching Arduino---but not just ""monkey see monkey do""",05/10/2017,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Looking for software that would enable me to cast a screen over LAN,05/10/2017,4,t,,,,,,,,,,,,,,,,1,,1,,,,,
How do you assess students' understanding of abstraction?,05/10/2017,5,t,,,,,,1,,,,,,,,,,,,,,,,,
What resources would you recommend for K-5 Computer Systems Concept of the CSTA K-12 Standards?,05/10/2017,2,t,,,,,,,,,,,,,,,,1,,1,,,,,
Is there independent evidence that physical computing improves engagement,07/10/2017,2,t,,,,1,,,,,,,,,,,,,,,,1,,,
How to handle objections to the wording of test questions or answers?,09/10/2017,5,t,,1,,,,1,,,,,,,,,,,,,,,,,
Answering student questions as they work outside class,13/10/2017,4,t,,1,,,,,,,,,,,,,,,,1,,,,,
Computer Science vs IT vs Digital Literacy,13/10/2017,4,t,1,,,,,,,,,,,,,,,,,,,,,,
"How to keep students heads from exploding from complex, interconnected topics",13/10/2017,3,t,,,,1,,,,1,,,,,,,,,,,,,,,
Going from syntax to CS concepts,15/10/2017,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Peanut Butter and Jelly Ending,16/10/2017,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
Real world example application built with Python and JavaScript?,18/10/2017,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
Encouraging Critical Thinking On Programs Before Students Write Them,19/10/2017,3,t,,,,1,,,,,1,,,,,,,,,,,,,,
Teaching Critical Thinking,20/10/2017,3,t,,,,,,,,,,,,,,,,,,,1,,,,
Making Technical Presentations Safe for Novices,21/10/2017,4,t,,1,,,,,,,,,,,,,,,,,,,,,
Good resource for practice problems for inductive proofs,23/10/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Should I share CS jobs stats at a Girls Who Code session?,23/10/2017,2,t,,1,,,,,,,,,,,,,,,,,,,,,
Easy on-boarding for grad students to lead outreach?,23/10/2017,1,t,,,,,,,,,,,,,,,,,,1,,1,,,
Could physical (i.e. lego) models help teach CS?,26/10/2017,3,t,,,,1,,,,,,,,,,,,,,1,,,,,
How to explain the int() function to a beginner,26/10/2017,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Is there some meaningful percentage of students who can't learn to program?,30/10/2017,22,t,,1,,,,,,,1,,,,,,,,,,,,,,
"Encourging Growth mindset, in computing lesson",31/10/2017,3,t,,1,,,,,,1,,,,,,,,,,,,,,,
"Make it easier, and quicker to get to the start",31/10/2017,3,t,,1,,,,,,1,,,,,,,,,,,,,,,
"Use of “learnable programming” (via direct manipulation) software, in teaching",02/11/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
How can we educators improve a lot of the negative behavior within the CS community,02/11/2017,3,t,,,,,,,,,,,,,,,,,,,,,,,
How to prevent dictating the solution when tutoring,03/11/2017,2,t,,,,1,,,,,,,,,,,,,,,,,,,
"How should I respond to a student who proposes a ""weak"" analogy?",03/11/2017,4,t,,1,,,,,,,,,,,,,,,,,,,,,
What is the pedagogical value of Conway's Game of Life?,04/11/2017,3,t,1,,,,,,,,,,,,,,,,,,1,,,,
Teaching intermediate Java to students familiar with C with analogy,05/11/2017,2,t,,1,,1,,,,,,,,,,,,,,,,,,,
Research on gender and attainment in CS,06/11/2017,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Clear example of the Object-Relational Mismatch,07/11/2017,4,t,1,,,1,,,,,,,,,,,,,,,,,,,
"Teaching students how to construct regular expressions (and other ""translation"" style problems)",09/11/2017,2,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Teaching NFAs after DFAs,09/11/2017,3,t,,,,1,,,,1,,,,,,,,,,,,,,,
"Conflicting meaning, between exam board / teaching resources, and technical meaning",14/11/2017,2,t,1,,,,,,,,,,,,,,,,,,1,,1,,
Engagement advice on Creative computing,14/11/2017,4,t,,,,,,,,,,,,,,,,,,,1,1,,,
Toy Databases for Class Examples/Homeworks,15/11/2017,4,t,,,,,,,,,,,,,,,,,,1,,,,,
How do I construct a basic lesson on computational complexity and undecidability?,19/11/2017,3,t,,,,,,,,,,,,,,,,,,,1,,,,
Best Git strategy for workshop code (starter -> end solution),20/11/2017,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Search for a useful interactive programming environment,21/11/2017,7,t,1,,,,,,,,,,,,,,,,,1,,,,,
Explaining the Value of Knowledge of Digital Logic,26/11/2017,4,t,1,,,1,,,,,,,,,,,,,,,,,,,
Agile / SCRUM Course Structure: Downsides? Resources?,29/11/2017,3,t,,,,1,,,,,,,,,,,,,,1,,,,,
"""Franklin"" Method for learning good programming?",29/11/2017,2,t,,,,1,,,,,,,,,,,,,,1,,,,,
A lab activity for the Y-Combinator,04/12/2017,1,t,,,,,,,,,,,,,,,,,,1,,,,,
How to stop being The Oracle,05/12/2017,11,t,,,,1,,,,,,,,,,,,,,,,,,,
Resource recommendations for teaching OOP via a practice-oriented example real world example,08/12/2017,5,t,,,,1,,,,,,,,,,,,,,1,,,,,
What's the best way to assess programming?,08/12/2017,3,t,,,,,,1,,,,,,,,,,,,,,,,,
Paired programming with an odd number of students,13/12/2017,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Single-dimensional array and simple looping activities of significance,15/12/2017,6,t,,,,,,,,,,,,,,,,,,1,,,,,
Quick and easy intro to computer science for kids for an Engineering Field Day,19/12/2017,5,t,,,,,,,,,,,,,,,,,,,1,1,,,
Enjoyable and\or fun way to explain cmake,19/12/2017,1,t,,,,1,,,,,,,,,,,,,,,,1,,,
The order of questions on examinations,20/12/2017,1,t,,,,,,1,,,,,,,,,,,,,,,,,
What should be included in a best practices C course?,21/12/2017,12,t,,,,,,,,,,,,,,,,,,,1,,,,
"A better database management system, for teaching databases",21/12/2017,3,t,,,,,,,,,,,,,,,,1,,,,,,,
What is a (simple definition of) a development environment? Using analogy,21/12/2017,2,t,,,,1,,,,,,,,,,,,,,,,,1,,
"Where, sequentially, do Interfaces sit in an introduction to Objects?",22/12/2017,4,t,,,,,,,,,,,,,,,,,,,1,,,,
"Reducing bias, from lesson that improves, as taught to a number of classes",23/12/2017,2,t,1,1,,1,,,,,,,,,,,,,,,,,,,
Is it possible to teach selection (`if`) before variables,24/12/2017,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Advantages and Disadvantages of Teaching Block-coding Languages Such As MIT's App Inventor?,27/12/2017,3,t,,,,1,,,,,,,,,,,,,,,,,,,
"Allowing students to work cooperatively on a computer, and retain access to their work",28/12/2017,8,t,,,,1,,,,,,,,,,,,,,,,,,,
Teaching C++ to students that know Java,30/12/2017,3,t,,,,1,,,,,,,,,,,,,,,1,,,,
What are good class exercises on design patterns?,04/01/2018,1,t,,,,,,,,,,,,,,,,,,1,,,,,
How far do you take modular expressions?,04/01/2018,2,t,,,,,,,,,,,,,,,,,,,1,,,,
What student exercises force them to modify and extend their own thinking process and methods?,06/01/2018,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Using Oracle's Java Documentation as a Teaching Tool,09/01/2018,4,t,,,,1,,,,,,,,,,,,,,1,,,,,
What are good examples that actually motivate the study of recursion?,09/01/2018,21,t,,,,1,,,,,,,,,,,,,,,,,,,
"Big-endian, Little-endian using analogy",10/01/2018,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Teaching zip and range in Python 3,11/01/2018,4,t,,,,1,,,,1,,,,,,,,,,,,,,,
Motivation for learning C++ when you know Java,13/01/2018,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Merits of teaching VCS as enrichment,17/01/2018,1,t,,,,,,,,,,,,,,,,,,,1,1,,,
Programming language for teenagers,17/01/2018,7,t,,1,,,,,,,,,,,,,,,,,1,,,,
Opening a machine learning course in high school,17/01/2018,3,t,,,,,,,,,,,,,,,,,,,1,,,,
Popular demonstration of cryptographic tools,19/01/2018,4,t,,,,,,,,,,,,,,,,,,1,,,,,
Using questions from a code-competition website in homework and exams,21/01/2018,3,t,,,,,,1,,,,,,,,,,,,,,1,,,
How to explain the concept of a variable to a 9-year old?,21/01/2018,27,t,,,,1,,,,1,,,,,,,,,,,,,,,
Is it worthwhile to teach assembly nowadays?,22/01/2018,8,t,,,,,,,,,,,,,,,,,,,1,,,,
Is there any pedagogically motivated reason to teach quadratic probing?,23/01/2018,3,t,1,,,,,,,,,,,,,,,,,,1,,,,
How to teach image processing and computer graphics to a blind student?,23/01/2018,3,t,,1,,1,,,,,,,,,,,,,,,,,,,
Pedagogical reasoning behind a minor difference in two loops,24/01/2018,7,t,,,,1,,,,,,,,,,,,,,,,,,,
Simple explanation of JPEG working principles,28/01/2018,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Order to teach looping constructs in a non ideal language,29/01/2018,7,t,1,,,1,,,,,,,,,,,,,,,,,,,
When does excessive collaboration become plagiarism?,31/01/2018,4,t,,,,,,1,,,,,,,,,,,,,,,,,
How to START an Objects-First Course,31/01/2018,4,t,1,,,,,,,,,,,,,,,,,,1,,,,
What are the core concepts of discrete mathematics within CS?,04/02/2018,4,t,,,,,,,,,,,,,,,,,,,1,,,,
Encourage students to learn and use advanced design,07/02/2018,3,t,,,,,,,,,,,,,,,,,,,,,,,
Answering “How is this useful to me?”,07/02/2018,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Is there evidence of differences in the outcomes of objects-early vs objects-late?,08/02/2018,1,t,,1,,,,,,,,,,,,,,,,,1,,,,
How do teachers motivate students to persevere and learn?,08/02/2018,6,t,,,,,,,,,,,,,,,,,,,,1,,,
What Notation for Teaching Boolean Logic?,11/02/2018,5,t,,,,1,,,,1,,,,,,,,,,,,,,,
Object Design Lab,12/02/2018,2,t,,,,,,,,,,,,,,,,,,1,,,,,
How widespread is the use of the PEP/8 assembly simulator in education?,13/02/2018,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
Explaining to students why to use double instead of float (unless there's a very good reason),13/02/2018,7,t,,,,1,,,,,,,,,,,,,,1,,,,,
Boolean Logic: How to Explain + as OR?,18/02/2018,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
How to avoid misconceptions about while loop when using null loop,21/02/2018,4,t,,,,1,,,,,,,,,,,,,,,,,,,
App Lab/JS confusion between strings and variables,24/02/2018,2,t,,,,1,,,,1,,,,,,,,,,,,,,,
NodeJS and Javascript libraries are overwhelming students,25/02/2018,3,t,,,,1,,,,1,,,,,,,,,,,,,,,
How do you teach something when you don't know it yourself?,26/02/2018,9,t,1,,,1,,,,,,,,,,,,,,,,,,,
How to phrase questions about spotting design issues in programs,28/02/2018,4,t,,,,1,,,,,,,,,,,,,,,,,,,
"Textbooks: Yes, no, roll your own?",04/03/2018,4,t,,,,,,,,,,,,,,,,,,1,,,,,
What are the tradeoffs of allowing students to submit test corrections?,05/03/2018,12,t,,,,,,1,,,,,,,,,,,,,,,,,
Blockchain cipher suitable for preschoolers unplugged,07/03/2018,4,t,,,,,,,,,,,,,,,,,,1,,,,,
How to help students comprehend the HTML document flow?,07/03/2018,2,t,,,,1,,,,1,,,,,,,,,,,,,,,
Should I teach that 1 kB = 1024 bytes or 1000 bytes?,09/03/2018,13,t,,,,1,,,,,,,,,,,,,,,,,,,
Is it bad to force my students not to return early?,09/03/2018,11,t,,,,1,,,,,,,,,,,,,,,,,,,
Is stressing too much on formalism acceptable?,11/03/2018,3,t,,,,1,,,,,,,,,,,,,,,,,,,
How do you deal with Lone Rangers in group projects?,13/03/2018,8,t,,,,1,,,,,,,,,,,,,,,,,,,
Use of jshell in AP CS A,14/03/2018,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Which non-programming skills help make a good programmer?,15/03/2018,5,t,,,,,,,,,,,,,,,,,,,1,,,,
A meaningful exercise that requires using a destructor,16/03/2018,5,t,,,,,,,,,,,,,,,,,,1,,,,,
Usefullness of Study Guide,16/03/2018,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Should I Provide Answers To Exercises?,16/03/2018,6,t,,,,1,,,,,,,,,,,,,,,,,,,
What are the advantages and disadvantages of cumulative vs percentage grading?,19/03/2018,6,t,,,,,,1,,,,,,,,,,,,,,,,,
"How Effective Is ""Rosetta Code"" as a Teaching Technique?",19/03/2018,5,t,,,,1,,,,1,,,,,,,,,,,,,,,
How to help students avoid being distracted by bells and whistles,19/03/2018,15,t,,,,1,,,,,,,,,,,,,,,,,,,
What should be included in student portfolios for CS?,20/03/2018,6,t,,,,,,,,,,,,,,,,,,1,,,,,
An exercise in utility,21/03/2018,3,t,,1,,1,,,,,,,,,,,,,,,,,,,
How do you teach Big O to high schoolers with varying degrees of math exposure?,26/03/2018,6,t,,1,,1,,,,,,,,1,,,,,,,,,,,
Test takings strategy tragedy,27/03/2018,2,t,,,,,,,,,,,,,,,,,,,,,,,
"For a beginner, is it better to start with C or a higher level language?",01/04/2018,12,t,,,,,,1,,,,,,,,,,,,,1,,,,
Resubmitting Projects,06/04/2018,4,t,,,,,,1,,,,,,,,,,,,,,,,,
How to give assignments that require heavy computational resources?,08/04/2018,4,t,,,,,,1,,,,,,,,,,,,,,,,,
How can we teach good naming practice for students learning Java?,09/04/2018,11,t,,,,1,,,,,,,,,,,,,,,,,,,
"What are healthy, productive ways to encourage students to progress to more advanced constructs as opposed to staying with the familiar?",10/04/2018,12,t,,,,,,,,,1,,,,,,,,,,,,,,
What resources and data sets are available for teaching big data courses?,11/04/2018,1,t,,,,,,,,,,,,,,,,,,1,,,,,
