Question,Date,Answer,T,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology,,
"What are ""general purpose programming skills""?",12/04/2018,4,t,,,,,,,,,,,,,,,,,,,1,,,,
How can I speed up the construction of high quality testing materials?,16/04/2018,5,t,,,,,,1,,,,,,,,,,,,,,,,,
"""Computer sciency"" and ""practical"" exercices involving dictionaries",16/04/2018,3,t,,,,1,,,,,,,,,,,,,,,,,,,
How to collect and grade Xcode work,17/04/2018,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Lab Requirement in AP CS A,18/04/2018,2,t,,,,,,,,,,,,,,,,,,,1,,,,
What screencasting tools can be used for online teaching,19/04/2018,5,t,,,,,,,,,,,,,,,,,,1,,,,,
Resources for the Praxis CS Test,26/04/2018,1,t,,,,,,1,,,,,,,,,,,,1,,,,,
"What are the advantages/disadvantages of teaching how to implement Nodes, Linked Lists, Stacks, and Queues before showing built-in implementations?",26/04/2018,12,t,,,,1,,,,,,,,,,,,,,,,,,,
Criteria for admission to AP CS courses in high school,27/04/2018,2,t,,,,,,1,,,,,,,,,,,,,,,,,
"Process Scheduling is not ""Process"" Scheduling - Should I disclose it to students?",28/04/2018,2,t,,,,1,,,,,,,,,,,,,,,,,,,
"Once implicit/inferred typing is introduced, how can I impress upon students the importance of not abusing it?",30/04/2018,9,t,,,,1,,,,,,,,,,,,,,,,,,,
Interesting Programming Exercises /analogies to Teach Inheritance?,01/05/2018,14,t,,,,1,,,,,,,,,,,,,,,,,,,
Should we merge technology departments with the science departments?,02/05/2018,2,t,,,,,,,,,,,,,,,,,,,,,,,
Constructing a curriculum from multiple resources for complex subjects,06/05/2018,1,t,,,,,,,,1,,,,,,,,,,1,,,,,
How Can I Explain The Concept Of Zero Knowledge Proofs To Students,07/05/2018,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Is it better to lie to students or to be pedantic when teaching Intro CS?,07/05/2018,16,t,,,,1,,,,,,,,,,,,,,,,,,,
Is it ok to use logic programming(like Prolog) as students' first language?,08/05/2018,3,t,,,,,,,,,,,,,,,,,,,1,,,,
Will you tell students that Algorithms + Data Structures = Programs now(21st century)?,09/05/2018,4,t,,,,,,,,,,,,,,,,,,,1,,,,
Should I correct mistakes in student presentations?,09/05/2018,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Use of programming aptitude test in CS program admission,09/05/2018,2,t,,1,,,,1,,1,,,,,,,,,,,,,,,
How to teach sums and asymptotics to students who don’t know limits,12/05/2018,2,t,,,,1,,,,1,,,,,,,,,,,,,,,
Why isn't Functional Programming Taught First?,12/05/2018,6,t,,,,,,,,,,,,,,,,,,,1,,,,
"Research into the use of symbol names, in programming, and how it affects learning",14/05/2018,3,t,,,,1,,,,1,,,,,,,,,,,,,,,
Statistics on functional programming in CS1,14/05/2018,1,t,,,,,,,,,,,,,,,,,,,1,,,,
Can assignments be graded using blockchain?,14/05/2018,1,t,,,,,,1,,,,,,,,,,,,,,,,,
How to teach a person to enjoy programming?,17/05/2018,27,t,,,,1,,,,,,,,,,,,,,,,1,,,
How can we best inform potential students of the nature of CS?,22/05/2018,5,t,,1,,,,,,,,,,,,,,,,1,,,,,
What physical / unplugged examples can I use for public key/asymmetric encryption?,24/05/2018,3,t,,,,1,,,,,,,,,,,,,,1,,,,,
What are the pedagogical methods for teaching programming?,29/05/2018,3,t,1,,,1,,,,,,,,,,,,,,,,,,,
Difficulty of algorithms homework problems,01/06/2018,4,t,,1,,,,,,1,1,,,,,,,,,,,,,,
How can Chatbots be useful in CS education?,04/06/2018,3,t,,,,1,,,,,,,,,,,,,,,1,,,,
Courage to Attack Difficult Questions,11/06/2018,6,t,,,,,,,,,1,,,,,,,,,,,,,,
How to structure a Predictive Keyboard project similar to GBoard,13/06/2018,6,t,,,,,,,,,,,,,,,,,,,,,,,
"Looking for puzzle/game programmes, so students can write solvers",16/06/2018,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Students frequently distracted by peers and games,26/06/2018,3,t,,,,1,,,,,,,,,,,,,,,,,,,
How do people prefer to learn web development - videos or text?,04/07/2018,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Easy to use database for HS students,08/07/2018,4,t,,,,,,,,,,,,,,,,,,1,,,,,
How important is it that I know all of the words for the technical terms when mentoring in my second language?,31/07/2018,4,t,1,,,1,,,,,,,,,,,,,,,,,,,
Teacher Community - Using CS50 for AP,14/08/2018,2,t,1,,,,,,,,,,,,,,,,,1,,,,,
How is computer science (and education) different today than some decades ago?,20/08/2018,4,t,,,,,,,,,,,,,,,,,,,,,,,
What can be the causes of the difference in student performance?,20/08/2018,1,t,,1,,,,,,,,,,,,,,,,,,,,,
Why are pointers a key topic in a CS curriculum and oft cited as something people don't get?,21/08/2018,8,t,1,,,,,,,,,,,,,,,,,,1,,,,
Short foundational lessons for 7-8 year olds,29/08/2018,3,t,,,,,,,,,,,,,,,,,,,1,,,,
How Can I Apply Spaced Repetition To Teaching CS?,31/08/2018,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Why do we count starting from zero?,03/09/2018,31,t,1,,,1,,,,,,,,,,,,,,,,,,,
How to convince students that self learning is an important skill?,14/09/2018,5,t,,1,,1,,,,,,,,,,,,,,,,,,,
Small to medium scale exercises about Haskell's higher abstractions,17/09/2018,0,t,,,,,,,,,,,,,,,,,,1,,,,,
How to give students practice with streaming computation?,19/09/2018,1,t,1,,,,,,,,,,,,,,,,,1,,,,,
Will I Regret Using Python As A Teaching Language When I Later Need to Teach Static Typing?,21/09/2018,3,t,,,,,,,,,,,,,,,,,,,1,,,,
What belongs in a low-math undergraduate AI elective besides ML?,25/09/2018,1,t,,,,,,,,,,,,,,,,,,,1,,,,
Lab ideas for set theory,25/09/2018,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Methods for engaging students when teaching unpopular or unfashionable topics,26/09/2018,2,t,,1,,1,,,,,,,,,,,,,,,,,,,
"Python function has access to global variables, and doesn't need passed arguments",28/09/2018,4,t,,,,1,,,,,1,,,,,,,,,,,,,,
How to gamify the learning management system,02/10/2018,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Software to produce an interactive presentation?,03/10/2018,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Example for Introduction to Generics in Java ,05/10/2018,1,t,,,,1,,,,,,,,,,,,,,,,,,,
"Need a good ""streaming"" software for coding tutorials/workshops",06/10/2018,2,t,,,,,,,,,,,,,,,,,,1,,,,,
First project in my second year data structures intro,09/10/2018,4,t,,,,,,1,,1,1,,,,,,,,,,,,,,
Mental Model of Type Conformance/Subtype Polymorphism,14/10/2018,7,t,,,,1,,,,1,,,,,,,,,,,,,,,
Project based on game 2048,15/10/2018,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Explaining why arrays are important for statisticians,18/10/2018,8,t,,,,1,,,,1,,,,,,,,,,,,,,,
Beginner Javascript course - recommended books,23/10/2018,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Exercise or example to reinforce idea of functions?,26/10/2018,8,t,,,,1,,,,1,,,,,,,,,,,,,,,
Teaching binary to 6-8 year olds,02/11/2018,20,t,,,,1,,,,1,,,,,,,,,,,,,,,
Improve motivation in the final part of a project based course,05/11/2018,2,t,,1,,1,,,,,,,,,,,,,,,,,,,
What is good age to start learning programming?,09/11/2018,16,t,,,,,,,,,,,,,,,,,,,1,,,,
Best way to install and maintain windows 10 in a computer lab,10/11/2018,3,t,,,,,,,,,,,,,,,,1,,,,,,,
Should one study programming by doing hard problem?,14/11/2018,3,t,,,,,,,,,1,,,,,,,,,,,,,,
Java or Kotlin for beginners (procedural programming knowledge is existing)?,15/11/2018,2,t,,,,,,,,,,,,,,,,,,,1,,,,
"Why some students think that programming is difficult and hard to learn, how I convince my students that programming is not difficult as they think?",26/11/2018,9,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Making induction meaningful,26/11/2018,3,t,,,,1,,,,,,,,,,,,,,,,1,,,
Why and how is it efficient to process sorted arrays than unsorted arrays?,03/12/2018,3,t,,,,1,,,,,,,,,,,,,,,,,,,
"What is the best way to learn an object oriented programming language with framework, data structure and alogrithms?",10/12/2018,2,t,,,,,,,,,,,,,,,,,,,1,,,,
Should programming assignments be graded based on results from unit tests or based on the similarity to the correct implementation?,11/12/2018,4,t,,,,,,1,,,,,,,,,,,,,,,,,
JavaScript to teach Theoretical Computer Science,12/12/2018,5,t,,,,,,,,,,,,,,,,,,,1,,,,
Code highlight for classroom use,22/12/2018,4,t,,,,,,,,,,,,,,,,,,1,,,,,
How can I set up and deliver a Computer Hardware Course for the first time?,27/12/2018,1,t,1,,,,,,,,,,,,,,,,,,1,,,,
Do you know of a complete textbook for teaching databases?,28/12/2018,4,t,1,,,,,,,,,,,,,,,,,1,,,,,
How to explain ETH to undergraduate students?,30/12/2018,2,t,,,,1,,,,,,,,,,,,,,,,,,,
How to write a grading rubric for coding assignments?,06/01/2019,5,t,,,,,,1,,,,,,,,,,,,,,,,,
What is a good teaching example/application for jagged arrays (2d arrays with irregular row lengths)?,10/01/2019,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Any simple Python GUI projects for beginner/novice programming students?,11/01/2019,9,t,,,,,,,,,,,,,,,,,,1,1,,,,
Quizzes after lectures,25/01/2019,6,t,,1,,,,,,1,,,,,,,,,,,,,,,
Which image rotation libraries use the Paeth algorithm?,25/01/2019,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Curriculum choice for AP Computer Science A,30/01/2019,1,t,,,,,,,,,,,,,,,,,,,1,,,,
What's a good unit testing assignment for Android?,09/02/2019,4,t,,,,,,1,,,,,,,,,,,,,1,,,,
C# Array Lesson Plan,13/02/2019,3,t,,,,,,,,,,,,,,,,,,,,,,,
Students seem to be unable to use code to express their ideas. Is the teaching methodology improvable?,14/02/2019,5,t,1,,,1,,,,,1,,,,,,,,,,,,,,
Angular vs React vs Vue,15/02/2019,1,t,,,,,,,,,,,,,,,,,,,1,,,,
Using online courses instead of / in addition to traditional lecturing,15/02/2019,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
Automatic grading of test-cases,15/02/2019,3,t,,,,,,1,,,,,,,,,,,,,,,,,
Online Code Review Scripts Like Udacity,17/02/2019,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Do some websites block school building/classroom IP networks because they mistake us for possible DDOS?,19/02/2019,3,t,,,,,,,,,,,,,,,,1,,,,,,,
Is the algorithm-recipe analogy a good or a bad one?,27/02/2019,3,t,,,,1,,,,,,,,,,,,,,,,,,,
How to teach operating systems development nowadays?,06/03/2019,4,t,,,,,,,,,,,,,,,,,,1,,,,,
Examples of innocent looking faulty code for shock effect,07/03/2019,6,t,,,,1,,,,1,,,,,,,,,,,,,,,
"Turtle examples for loops and variables, or even something else",12/03/2019,4,t,,,,1,,,,,,,,,,,,,,,,,,,
How do you teach Theory of Automata / Formal Language Theory / Computation Complexity?,13/03/2019,1,t,1,,,1,,,,,,,,,,,,,,,,,,,
Teaching Revision (Change) Control Systems In High School CS Classes,17/03/2019,2,t,,,,,,,,,,,,,,,,,,1,1,,,,
What are the essential ideas that students need to know about Artificial Intelligence?,21/03/2019,1,t,,,,,,,,,,,,,,,,,,,1,,,,
"What teaching techniques can be used, in teaching students from a medical background, to improve their programming?",22/03/2019,1,t,,,,1,,,,1,,,,,,,,,,,,,,,
Thoughts on language for Intro to Data Science?,22/03/2019,4,t,,,,,,,,,,,,,,,,,,,1,,,,
How do I deal with students being unkind to each other when I'm not there?,30/03/2019,3,t,,,,,,,,,,,,,,,,,,,,,,,
open source MOOC platforms,05/04/2019,2,t,,,,,,,,,,,,,,,,,,1,,,,,
how to motivate student that programming will give bright future to them?,05/04/2019,3,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Pedagogical issues with Stack Implementation,09/04/2019,1,t,1,,,1,,,,,,,,,,,,,,,,,,,
Suggestions for teaching selection sort with candy,18/04/2019,3,t,,,,,,,,,,,,,,,,,,,,1,,,
What is a file?,20/04/2019,10,t,1,,,,,,,,,,,,,,,,,,,,,,
Concrete example for polymorphism use?,20/04/2019,6,t,,,,1,,,,,,,,,,,,,,,,,,,
How to teach C++ language to beginners of (BSCS) students who have no any idea about it?,22/04/2019,4,t,,,,1,,,,,,,,,,,,,,,,,,,
How to introduce Kotlin in a Programming Languages course,24/04/2019,3,t,,,,1,,,,,,,,,,,,,,,,,,,
AP Computer Science Principles and Unity,25/04/2019,1,t,1,,,,,,,,,,,,,,,,,,1,,,,
"Hardware (cameras, headsets) for TEALS supported classrooms",30/04/2019,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Should an educator define terms rigorously?,02/05/2019,2,t,,,,1,,,,,,,,,,,,,,,,,1,,
How to make students confident enough to stop copying each other's code assignment?,04/05/2019,2,t,,,,,,1,,,1,,,,,,,,,,,,,,
Discrete function is also a math function? Example,04/05/2019,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Hand-on ideas on tutorial on setting up a cloud-based server,07/05/2019,2,t,,,,,,,,,,,,,,,,,,,1,,,,
How to introduce problem solving to primary school pupils?,08/05/2019,2,t,,,,,,,,,,,,,,,,,,,1,,,,
How does IB Computer Science compare with AP Computer Science?,10/05/2019,1,t,,,,,,,,,,,,,,,,,,,1,,,,
Is it a good idea to teach algorithm courses using pseudocode instead of a real programming language?,16/05/2019,12,t,1,,,1,,,,,,,,,,,,,,,,,,,
How to create webpage slides for teaching?,16/05/2019,6,t,,,,1,,,,,,,,,,,,,,,,,,,
What are some good problems which can be solved with a queue? Example,21/05/2019,9,t,,,,1,,,,,,,,,,,,,,,,,,,
Projecting the In- class demo screen,27/05/2019,2,t,,,,1,,,,,,,,,,,,,,,,,,,
What to do when pupil destroy lab equipment?,28/05/2019,4,t,,,,,,,,,,,,,,,,,,,,,,,
Are there any resources out there to continue developing my students' programming skills after Code Combat,30/05/2019,5,t,,1,,,,,,,,,,,,,,,,1,,,,,
How can you efficiently assess students web coding?,30/05/2019,5,t,,,,,,1,,,,,,,,,,,,,,,,,
Recent Graduate becomes a teacher,31/05/2019,1,t,1,,,1,,,,,,,,,,,,,,,,,,,
Is it easy for professors to get academic versions of software from IBM?,03/06/2019,2,t,,,,,,,,,,,,,,,,1,,1,,,,,
"What do A-level students, that have not done GCSE, struggle with?",09/06/2019,3,t,,1,,,,,,,,,,,,,,,,,,,,,
End of Year Movies For CS Classes,11/06/2019,4,t,,,,,,,,,,,,,,,,,,,,1,,,
"Shallow, broad and general introduction to programming",12/06/2019,4,t,,,,,,,,,,,,,,,,,,,1,,,,
Creating Interactive Gnu/Linux shell programming courses,13/06/2019,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Assignment repositories,14/06/2019,2,t,,,,,,1,,,,,,,,,,,,,,,,,
How can we determine which students are a good fit for an educational program?,29/06/2019,2,t,,1,,,,1,,,,,,,,,,,,,,,,,
Array or vector? Two dimensional array or matrix?,04/07/2019,4,t,,,,1,,,,,,,,,,,,,,,,,,,
What is a good introductory language for high school?,09/07/2019,4,t,,,,,,,,,,,,,,,,,,,1,,,,
Framework vs Vanilla JS for students,16/07/2019,5,t,,,,1,,,,1,,,,,,,,,,,,,,,
Why teach C using scanf without talking about command line arguments?,18/07/2019,7,t,1,,,1,,,,,,,,,,,,,,,,,,,
A real world example for the divide and conquer method,21/07/2019,6,t,,,,1,,,,,,,,,,,,,,,,,,,
What is the closest pair problem useful for?,31/07/2019,1,t,1,,,,,,,,,,,,,,,,,,1,,,,
Classification of programming exercises,04/08/2019,3,t,,,,,,1,,,,,,,,,,,,,,,,,
Any relevant research in Motivation?,10/08/2019,1,t,,1,,,,,,,,,,,,,,,,,,,,,
Abreviation of practical work assignment?,19/08/2019,2,t,,,,1,,,,,,,,,,,,,,,,,,,
System to validate run time complexity requirements,21/08/2019,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Interfaces and Greenfoot,26/08/2019,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Open Source Training,31/08/2019,2,t,1,,,,,,,,,,,,,,,,,1,,,,,
What's the benefit of prohibiting the use of techniques/language constructs that have not been taught?,13/09/2019,10,t,,,,1,,,,,,,,,,,,,,,,,,,
Hackerrank challenges for a programming course: hide code and show only what is relevant?,14/09/2019,0,t,,,,1,,,,,,,,,,,,,,,,,,,
what would be a best approach to teach programming to non CS major?,16/09/2019,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Programming exercise Tagging,17/09/2019,1,t,,,,,,,,,,,,,,,,,,,,,,,
methods early in Java - before objects,18/09/2019,7,t,,,,,,,,,,,,,,,,,,1,1,,,,
Teaching data structures with C++: should I go with smart instead of raw pointers?,19/09/2019,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
Software tool as in Bret Victor's demo,22/09/2019,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Any auto grading site that supports all-testcases-in-one-file (and/or in github)?,23/09/2019,1,t,,,,,,1,,,,,,,,,,,,,,,,,
"Teaching past the ""symbology"" of a language",25/09/2019,2,t,,,,1,,,,,1,,,,,,,,,,,,,,
Fun way to teach algorithms,28/09/2019,4,t,,,,1,,,,,,,,,,,,,,,,1,,,
"A category to classify expressions, statements and blocks",07/10/2019,3,t,1,,,,,,,,,,,,,,,,,,,,,,
What are some non-CS concepts that can be defined using BNF notation?,08/10/2019,4,t,,,,1,,,,,,,,,,,,,,,1,,,,
How do you distinguish jargon from normal language in explaining a concept?,24/10/2019,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Students' confusion over C structure members and structure variables,24/10/2019,6,t,,,,1,,,,1,,,,,,,,,,,,,,,
Analogy to teach beginners the concept of interrupt,29/10/2019,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Undergraduate Computer Science Projects real life,31/10/2019,1,t,,,,1,,,,,,,,,,,,,,1,,,,,
Platform for annotating students' code assignments,31/10/2019,1,t,,,,,,1,,,,,,,,,,,,,,,,,
"How might I structure an assignment with two ""levels""?",01/11/2019,4,t,,1,,,,1,,,,,,,,,,,,,,,,,
Setting up a cloud-server SSH login procedure for a class? (AWS),04/11/2019,1,t,,,,,,,,,,,,,,,,,,1,,,,,
"How do you wow second-year students into saying ""bare-metal programming is cool!""?",06/11/2019,5,t,,,,1,,,,,,,,,,,,,,,,,,,
"How to construct non computer-based, Paper Parsons Problem unplugged",06/11/2019,2,t,,,,1,,,,,,,,,,,,,,1,,,,,
Research On Teaching A Second Programming Language/Paradigm,06/11/2019,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Languages class in high school,10/11/2019,4,t,,,,,,,,,,,,,,,,,,1,1,,,,
"JavaFX and console-based interfaces, at the CS1 level",10/11/2019,1,t,,,,,,,,,,,,,,,,1,,,,,,,
Materials on database indexing with examples,12/11/2019,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Does it make sense to write tutorial when content of the tutorial can be already learned from internet without that tutorial?,15/11/2019,2,t,,,,1,,,,,,,,,,,,,,,,,,,
How to teach linear programming and reductions?,06/12/2019,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Would you mentor other people for free/voluntary donations?,07/12/2019,3,t,,,,,,,,,,,,,,,,,,,,,,,
"Order of learning formal languages, automata, compilers and parsing",09/12/2019,2,t,,,,,,,,,,,,,,,,,,,1,,,,
How do you teach when your students have wildly different backgrounds?,13/12/2019,3,t,,1,,1,,,,,,,,,,,,,,,,,,,
What is the best way to teach JavaScript functions to middle schoolers?,19/12/2019,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Is it worth to learn to make a MD5-hash cracker?,21/12/2019,1,t,,,,,,,,,,,,,,,,,,,1,,,,
How can we measure proficiency in programming languages?,02/01/2020,2,t,,,,,,1,,,,,,,,,,,,,,,,,
What are some real life applications of the knapsack problems class?,04/01/2020,2,t,,,,1,,,,,,,,,,,,,,,,,,,
An Intro to CS course in C++ for CS majors: laying a solid low-level foundation or simple tools and algorithmic thinking?,08/01/2020,4,t,,,,,,,,,,,,,,,,,,,1,,,,
How can I teach the students a package/module in a computer lab?,14/01/2020,1,t,,,,1,,,,,,,,,,,,,,,,,,,
What would be your ideal first lecture in a databases course?,14/01/2020,2,t,,,,,,,,,,,,,,,,,,,1,,,,
What is the CS Analog To Learning One's Multiplication Tables?,15/01/2020,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Putting feedback comments on source code when grading,16/01/2020,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Computer Science in the Waldorf curriculum,19/01/2020,1,t,,,,,,,,,,,,,,,,,,,1,,,,
How to prevent organization/OS students from becoming premature optimizers?,19/01/2020,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Which are common misconceptions about code execution? How to efficiently debug my student?,24/01/2020,1,t,,,,1,,,,,,,,,,,,,,,,,,,
An example that compares a computational with a non-computational thinking approach,26/01/2020,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Robotics Recommendations,09/02/2020,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Suggested fliers for high school career fair?,10/02/2020,1,t,,,,,,,,,,,,,,,,,,,,,,,
Is there a free platform to host coding challenges within a class?,19/02/2020,1,t,,,,,,1,,,,,,,,,,,,1,,,,,
Physical Activity for Objects,21/02/2020,2,t,,,,,,,,,1,,,,,,,,,1,,1,,,
Debugging a submission that works well on student's computer but not on my computer,23/02/2020,5,t,,,,,,,,,1,,,,,,,,,1,,,,,
What do programming novices need to know when using MatLab?,25/02/2020,6,t,,,,,,,,,,,,,,,,,,1,1,,,,
Explaining Event-Driven Programming in the context of the Structured Programming Theorem,01/03/2020,5,t,,,,1,,,,,,,,,,,,,,,,,,,
How can I design online tests and prevent cheating? Pandemic,10/03/2020,7,t,,,,,,1,,,,,,,,,,,,,,,,,
What evaluation methods can be used that don't involve testing but are adaptable to online courses pandemic,10/03/2020,4,t,,,,,,1,,,,,,,,,,,,,,,,,
Tools for running classes remotely,10/03/2020,2,t,,,,1,,,,,,,,,,,,1,,1,,,,,
Which topics should one cover in teaching a course titled “Artificial Intelligence and Machine Learning”?,17/03/2020,1,t,,,,,,,,,,,,,,,,,,,1,,,,
Distributed Pair Programming in distance education pandemic,18/03/2020,4,t,,,,1,,,,,,,,,,,,,,,,,,,
"Training students to give better feedback, when remote teaching due to pandemic",24/03/2020,3,t,,1,,1,,,,1,,,,,,,,,,,,,,,
HS Lessons On Modeling Virus Spread,27/03/2020,3,t,,,,1,,,,,,,,,,,,,,,,,,,
How to limit access to tests on Blackboard?,27/03/2020,0,t,,,,,,1,,,,,,,,,,,,,,,,,
Counter-Example for Computability,30/03/2020,6,t,,,,1,,,,,,,,,,,,,,,,,,,
Advising college students about whether to take classes pass/fail due to pandemic,31/03/2020,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Online classes: Any good ways to avoid having too many interruptions but at the same time not leaving anyone behind due to the pandemic?,07/04/2020,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Seeking advice on mentoring without participating in exam cheating in the new chaotic environment of the pandemic,09/04/2020,1,t,,,,,,1,,,,,,,,,,,,,,,,,
"What ""process instruction"" should instructors give students when assigning a team project?",19/04/2020,4,t,,,,1,,,,,,,,,,,,,,,,,,,
"Looking for a simple, offline, portable, lightweight IDE for C++ with a compiler and debugger",20/04/2020,2,t,,,,,,,,,,,,,,,,1,,1,,,,,
"Is it OK to use ""informal"" systems such as TeamSpeak or Discord to support classes due to pandemic?",22/04/2020,3,t,,,,,,,,,,,,,,,,,,1,,,,,
"A beginner example of xor, that is functional (does not switch to procedural)",23/04/2020,10,t,,,,1,,,,,,,,,,,,,,,,,,,
(FOSS) Application to show/explain compilation?,23/04/2020,2,t,,,,,,,,,,,,,,,,,,1,,,,,
What language best prepares a high school student for a STEM undergraduate major?,04/05/2020,2,t,1,,,,,,,,,,,,,,,,,,1,,,,
How do I teach problem solving and logical thinking to students of age group 12-18yrs through online session,13/05/2020,1,t,,,,1,,,,,,,,,,,,,,,1,,,,
Computer Science Theory with Haskell?,13/05/2020,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Is it necessary or advisable to teach text-based input and output in a non-CS intro programming course?,13/05/2020,6,t,,,,,,,,,,,,,,,,,,,1,,,,
How to design a cloze test for a programming language?,15/05/2020,4,t,,,,,,1,,,,,,,,,,,,,,,,,
Coding assignments for algorithms and data structures?,27/05/2020,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Any website or textbook with problems/solutions for Computer Science Theory?,30/05/2020,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Is there a word for mathematics/physics/data-analytics/....?,03/06/2020,3,t,,,,,,,,,,,,,,,,,,,1,,,,
In what branch of science does technology belong?,04/06/2020,2,t,,,,,,,,,,,,,,,,,,,,,,,
Are there any recommended tools for teaching syntax and grammar of programming languages?,08/06/2020,1,t,,,,1,,,,,,,,,,,,,,1,,,,,
How to embed TIC-80 into Computer science 101 course,26/06/2020,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Problem book for Haskell course,15/07/2020,1,t,,,,,,,,,,,,,,,,,,1,,,,,
