Question,Date,Answer,T,Teachers subject knowledge,Differentiation,Lack of time,Approaches to teaching,Dry,Assessment,Lack of support,Students lack of understanding,Problem solving skills,Resilience,Not engaged,Ability in maths,Literacy skills,Not remembering,Not practising,Technical problems,Lack of resources,Finding resources,Curriculum,Fun,Terminology,,
Teaching an absolute beginners class Operating Systems with Rust,16/07/2020,1,t,,,,,,,,1,,,,,,,,,,,1,,,,
What to teach in an Advanced Computer Networking course?,22/07/2020,3,t,,,,,,,,,,,,,,,,,,,1,,,,
Creating a pre-recorded lecture,27/07/2020,4,t,,,,,,,,,,,,,,,,1,,,,,,,
Is there a Java library for testing command line applications?,31/07/2020,3,t,,,,,,1,,,,,,,,,,,,1,,,,,
Any good resource for introducing kids to programming using Python's Turtle Graphics?,31/07/2020,7,t,,,,,,,,,,,,,,,,,,1,1,,,,
Dataset colection of weighted graphs,05/08/2020,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Jackson based IDE for programming,09/08/2020,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Concept of variable,10/08/2020,7,t,,,,1,,,,,,,,,,,,,,,,,,,
Is CS50 AP available for new teachers for 2020-2021?,12/08/2020,1,t,,,,,,,,,,,,,,,,1,,,,,,,
Items on grading rubric for a coding assignment,17/08/2020,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Grading source code in an online environment,17/08/2020,5,t,,,,,,1,,1,,,,,,,,,,,,,,,
Creating a rubric for computer arithmetic,19/08/2020,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Where can I find high-quality editable slides for teaching git?,20/08/2020,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Teaching in class and online cohorts CS pandemic,22/08/2020,1,t,,,,1,,,,,,,,,,,,,,,,,,,
KANBAN materials,28/08/2020,2,t,1,,,,,,,,,,,,,,,,,1,,,,,
"When mentoring individuals, teach clean coding and simple/effective thinking or let them do it their way?",31/08/2020,11,t,,,,1,,,,,,,,,,,,,,,,,,,
Looking for a text book on object-oriented concepts and programming,01/09/2020,2,t,,1,,,,,,,,,,,,,,,,1,,,,,
"Are there problem sets for trace table problems? If not, what are some good topics to cover?",04/09/2020,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Ways to imagine a computer program for a student without photographic visualisation,05/09/2020,4,t,,1,,1,,,,,,,,,,,,,,,,,,,
relationship between ACM curriculum guidelines from 2013 and computing curricula 2020,07/09/2020,1,t,,,,,,,,,,,,,,,,,,,1,,,,
Looking for good Master Theorem real world examples,10/09/2020,1,t,,,,1,,,,,,,,,,,,,,,,,,,
How to share solutions in a way they won't get uploaded,10/09/2020,9,t,,,,,,1,,,,,,,,,,,,,,,,,
What would be a good project for teaching big program concepts?,14/09/2020,4,t,,,,,,1,,,,,,,,,,,,1,,,,,
"Student not understanding explanation the 1st, 2nd... and 8th time",17/09/2020,5,t,1,1,,1,,,,,,,,,,,,,,,,,,,
How useful is English (pseudocode and documentation) in aiding understanding?,17/09/2020,3,t,,,,1,,,,1,,,,,,,,,,,,,,,
Any materials on fractional/quotient languages?,18/09/2020,1,t,,,,,,,,,,,,,,,,,,1,,,,,
What's a good example of a static factory method returning instances of subclasses?,24/09/2020,3,t,,,,1,,,,,,,,,,,,,,,,,,,
First Time Learning Non-Linear Data Structures,25/09/2020,5,t,,1,,1,,,,1,,,,,,,,,,,,,,,
Looking for a blog article on the UI/UX design of an interactive coding interface like Khan Academy's,10/10/2020,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Feedback request: an assignment on programming a research paper,12/10/2020,1,t,,1,,,,1,,,,,,,,,,,,,,,,,
REPL environment for teacher assignments,19/10/2020,1,t,,,,,,1,,,,,,,,,,,,,,,,,
CS educators collaboration communities?,27/10/2020,4,t,,,,,,,,,,,,,,,,,,1,,,,,
Alternative to Piazza for online Q&A,03/11/2020,0,t,,,,,,,,,,,,,,,,1,,1,,,,,
Why is computer science hard?,16/11/2020,17,t,,1,,,,,,1,,,,,,,,,,,,,,,
"Teaching (2,3) and AVL Trees: information in internal nodes or in external nodes?",27/11/2020,1,t,1,,,1,,,,,,,,,,,,,,,,,,,
Logo course scaffolding,01/12/2020,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Concern over plagiarism in designing online course,10/12/2020,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Are there any conventions for writing logic statements for combinations of logic gate functions?,12/12/2020,2,t,,,,1,,,,,,,,,,,,,,,,,,,
What do you mean it’s plagiarism? It’s from the docs!”,12/12/2020,3,t,,,,,,1,,,,,,,,,,,,,,,,,
What is a real-world (production-code) example of a function having default arguments?,18/12/2020,3,t,,,,1,,,,,,,,,,,,,,,,,,,
"Cormen's ""Algorithms"" pre-requisites",18/12/2020,1,t,,,,,,,,,,,,,,,,,,1,,,,,
"What are good, practical labs and activities for loops?",21/12/2020,6,t,,,,,,,,,,,,,,,,,,1,,,,,
Subtopics to cover within Karnaugh Maps,04/01/2021,2,t,1,,,,,,,,,,,,,,,,,,1,,,,
Ways to do live polling (aka ConcepTests) during class,05/01/2021,3,t,,,,,,,,,,,,,,,,1,,,,,,,
Algorithm Design challenges,05/01/2021,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Realistic task for teaching bit operations,10/01/2021,13,t,,,,1,,,,,,,,,,,,,,1,,,,,
How to advise change in a curriculum as a new teacher during the pandemic,16/01/2021,5,t,,,,,,,,,,,,,,,,,,,1,,,,
Common questions students may ask when they learn OOP?,19/01/2021,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
History of educational programming languages,19/01/2021,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Using autograding (Github Classroom) - pitfalls and best practices?,24/01/2021,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Teach smart pointers to beginners with no knowlege of OOP or templates analogy,24/01/2021,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Number of preps for networking and programming courses,02/02/2021,0,t,,,,,,,,,,,,,,,,,,,1,,,,
What are some fun projects for non-CS majors?,03/02/2021,17,t,,,,1,,,,,,,,,,,,,,,,1,,,
Order of parameter / variables on stack in C,04/02/2021,4,t,1,,,,,,,,,,,,,,,,,,,,,,
Curriculum for a primary school learner,08/02/2021,4,t,,,,,,,,,,,,,,,,,,1,,,,,
Trying out the concepts of machine learning during teaching from home pandemic,11/02/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
introduction materials to the actor model?,11/02/2021,0,t,,,,,,,,,,,,,,,,,,1,,,,,
How should Parsons Problems be graded?,17/02/2021,1,t,,1,,,,1,,,,,,,,,,,,,,,,,
is there any good specific pedagogy research to teach spreadsheets?,21/02/2021,2,t,,,,1,,,,,,,,,,,,,,,,,,,
games for teaching html,27/02/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
How to use CSS diner to teach beginners in CSS,27/02/2021,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Have databases disappeared at GCSE?,10/03/2021,1,t,,,,,,,,,,,,,,,,,,,1,,,,
Simple use case for self-modifying programs analogy,14/03/2021,3,t,,,,1,,,,,,,,,,,,,,,,,,,
Reduce snap!'s features,17/03/2021,2,t,,,,1,,,,,,,,,,,,,,,,,,,
How necessary is UML for a course in object programming patterns?,20/03/2021,5,t,,,,,,,,,,,,,,,,,,,1,,,,
Services-centered design,11/04/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
How can I credit to sources I'll use for my paid or free video tutorials on YouTube or Udemy?,12/04/2021,1,t,,,,,,,,,,,,,,,,,,,,,,,
Do you know online courses with Haskell for Theory of Computation?,14/04/2021,2,t,,,,,,,,,,,,,,,,,,1,,,,,
"How many of ""The Seven Laws of Teaching"" are still relevant for teaching computer science today?",17/04/2021,1,t,,,,1,,,,,,,,,,,,,,,,,,,
First programming Language : C or Python?,22/04/2021,6,t,,,,,,,,,,,,,,,,,,,1,,,,
Why might be the benefits of teaching data structure course in Python?,26/04/2021,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Open Source Mentoring Programmes for Formal Education,27/04/2021,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Decorators in Python,28/04/2021,2,t,,,,1,,,,,,,,,,,,,,,,,,,
COBOL programmers,29/04/2021,3,t,,,,,,,,,,,,,,,,,,,1,,,,
MERN - Which textbook to use?,01/05/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Growth of Early CS Students,02/05/2021,0,t,,1,,,,,,,,,,,,,,,,,,,,,
"Resources for flowchart programming for young, new programmers?",07/05/2021,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Divide and conquer for subset sum problem,20/05/2021,0,t,,,,1,,,,,,,,,,,,,,,,,,,
Greedy Algorithm Approach real world,21/05/2021,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Free online AI/ML demos for grade 8-10 students,30/05/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Is Cyber-Security E-safety or not,02/06/2021,2,t,1,,,,,,,,,,,,,,,,,,1,,,,
Real world examples for the difference between null and zero?,17/06/2021,6,t,,,,1,,,,,,,,,,,,,,,,,,,
Adding MS excel in curriculum for highschool students,17/06/2021,1,t,,,,,,,,,,,,,,,,,,,1,,,,
Is there a free to use validated Computer Science concept inventory?,18/06/2021,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Good resources to teach Natural Language Processing,21/06/2021,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Reduce Grading & Improve Assignments,29/06/2021,3,t,,,,,,1,,,,,,,,,,,,,,,,,
Which websites provide real-time updated Jupyter notebooks for Python teaching?,07/07/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Example of amortized analysis of algorithms rather than data structures,11/07/2021,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Recommended CS books for high school,12/07/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
What is a good textbook for teaching Web Programming?,29/07/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Do any Computer Engineering programs have a required digital logic course that comes before the first course in programming,16/08/2021,3,t,,,,,,,,,,,,,,,,,,,1,,,,
Perspective on assignments,17/08/2021,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Teaching algorithmic thinking without a programming language,25/08/2021,11,t,,,,,,,,,,,,,,,,,,1,,,,,
"Finding ""Filler"" projects for students",25/08/2021,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Computer Graphics Textbook Recommendations,03/09/2021,1,t,,,,,,,,,,,,,,,,,,1,1,,,,
What are the real-life use cases for for fractional/quotient regular languages?,29/09/2021,0,t,,,,,,,,,,,,,,,,,,1,,,,,
"Resource recommendation for teaching the command line, file system for high school student",09/10/2021,3,t,,,,1,,,,1,,,,,,,,,,,,,,,
Sources on the Topic Source Code Security/Authenticity,13/10/2021,1,t,1,,,1,,,,,,,,,,,,,,,,,,,
Object Oriented Software Engineering Project,20/10/2021,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Help identifying a '90s CYOA-style book with BASIC code listings,02/11/2021,2,t,,,,,,,,,,,,,,,,,,1,,,,,
What are some good conditional branching excercise scenarios?,20/11/2021,1,t,,,,,,,,,,,,,,,,,,1,1,,,,
How to decide which methods are responsibility of which classes,24/11/2021,1,t,,,,1,,,,1,,,,,,,,,,,,,,,
Regarding state diagrams - (different levels),24/11/2021,0,t,,,,1,,,,,,,,,,,,,,1,,,,,
Graph / Tree Visualization Software,05/12/2021,1,t,,,,,,,,,,,,,,,,,,1,,,,,
How to teach programming to underprivilege kids who are not having access to laptop?,09/12/2021,3,t,,,,1,,,,,1,,,,,,,,,,,,,,
Object patterns student presentation format,13/12/2021,3,t,1,,,1,,,,,,,,,,,,,,,1,,,,
For and while loops examples for 12-13 years old class,16/12/2021,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Teaching with changing dependencies,18/12/2021,2,t,,,,1,,,,,,,,,,,,1,,,,,,,
How to respond to the two-handed approach to swapping,04/01/2022,10,t,,,,1,,,,,,,,,,,,,,,,,,,
Advise needed: GameDev Course Outline,08/01/2022,0,t,,,,,,,,,,,,,,,,,,,1,,,,
Driven to Abstraction,10/01/2022,8,t,,,,,,,,,,,,,,,,,,,1,,,,
Any technology for full body video with slides in Zoom pandemic,11/01/2022,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Grading programming exercises: the quality vs. originality paradox,11/01/2022,2,t,,,,,,1,,,,,,,,,,,,,,,,,
Do you include coding assignments in an intro to complexity and computation course?,15/01/2022,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Practical assignments Hardware/Server projects,30/01/2022,0,t,1,,,,,,,,,,,,,,,,,1,,,,,
What sort of programming assignments do you give in an FP course?,01/02/2022,3,t,,,,,,1,,,,,,,,,,,,,,,,,
What to tell students that plagiarised their programming assignment?,02/02/2022,9,t,,,,1,,1,,,,,,,,,,,,,,,,,
Data science tutoring without just doing my student's homework,02/02/2022,1,t,,,,,,,,,,,,,,,,,,,,,,,
Problems with students stuck in web-browser and what to do about it,16/02/2022,11,t,,,,1,,,,1,,,,,,,,,,,,,,,
ML Andrew Ng course as practical university course,27/02/2022,0,t,1,,,1,,,,,,,,,,,,,,,,,,,
"Why are block graphics being taught? (either ""instead of ncurses"" or ""at all"")",09/03/2022,1,t,,,,,,,,,,,,,,,,,,,1,,,,
"APCSA 2015 Q3, grading criteria",25/03/2022,3,t,,,,,,1,,,,,,,,,,,,,,,,,
What things aren't obvious about reading documentation? How can I explain to others how to do it?,01/04/2022,7,t,,,,1,,,,1,,,,,,,,,,,,,,,
What effect will AI tools like Codex and CoPilot have on teaching programming (and admissions),07/04/2022,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Multithreading in Programming modules,16/04/2022,0,t,,,,,,,,,,,,,,,,,,,1,,,,
How to teach algorithms in an interactive way,18/04/2022,4,t,,,,1,,,,1,,,,,,,,,,,,,,,
"In programming courses, should homework grading be the job of the TA or the professor?",27/04/2022,5,t,,,,,,,,,,,,,,,,,,,,,,,
Python Code Sharing Forum,02/05/2022,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Redesigning a C++ Course,11/05/2022,7,t,,,,1,,,,,,,,,,,,,,,1,,,,
"If a program does not compile, should it get a mark of zero?",12/05/2022,22,t,,,,,,1,,,,,,,,,,,,,,,,,
Is the choice of the first programming language relevant?,14/05/2022,6,t,,,,,,,,,,,,,,,,,,,1,,,,
Accounting and potential methods in amortized analysis,30/05/2022,0,t,,,,1,,,,,,,,,,,,,,,1,,,,
"What is the technology (or combination of technologies) one would use to create slides, animations and live coding for lectures?",07/06/2022,1,t,,,,1,,,,,,,,,,,,,,1,,,,,
What are some suitable persistence services for storing programming tasks?,19/06/2022,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Can we do anything to help CS students from 3rd world under developed countries?,23/06/2022,2,t,,1,,,,,,,,,,,,,,,,,,,,,
How to approach students who submit their work which consists of frowned upon tools?,04/07/2022,3,t,,,,,,1,,,,,,,,,,,,1,,,,,
How can I incentivize students to test their applications with end users?,26/07/2022,2,t,,1,,1,,1,,,,,,,,,,,,,,,,,
"To introduce quantum computing, what metaphors/actual examples of 2-state systems work for teaching, and what misconceptions might they introduce?",02/08/2022,1,t,,,,1,,,,,,,,,,,,,,,,,,,
First Time teaching 6th & 7th grade computer science,21/08/2022,2,t,,,,,,,,,,,,,,,,,,,1,,,,
"Searching for algorithms using array, stack, queue, List or no data structure solving interesting problems",04/09/2022,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Teaching ideas for string algorithm?,08/09/2022,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Android Course: XML or Compose?,12/09/2022,1,t,,,,,,,,,,,,,,,,,,,,,,,
Are there any tools for embedding editable code samples in Canvas?,20/09/2022,0,t,,,,,,,,,,,,,,,,1,,1,,,,,
Private tutoring middle school and high school students: most common requests,22/09/2022,0,t,1,,,,,,,,,,,,,,,,,,1,,,,
Feedback: Mobile Development Course Outline,27/09/2022,0,t,,,,,,,,,,,,,,,,,,,1,,,,
Are there some strategies to automatically generate assessment questions and answers?,14/10/2022,0,t,,,,,,1,,,,,,,,,,,,,,,,,
Seek for textbook suggestions of introductory software engineering,29/10/2022,2,t,,,,,,,,,,,,,,,,,,1,,,,,
"The algebraic aspect of computation, or how to make them understand the usefulness and the meaning of variables",12/11/2022,2,t,,,,1,,,,1,,,,,,,,,,,,,,,
Software for runnable algorithmic organigrams,25/11/2022,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Unplugged Project Idea,02/12/2022,1,t,,1,,1,,,,,,,,,,,,,,,,,,,
Book / Course Teaching Basic Logic Circuits Via Minecraft Redstone To A Young Target Demographic,20/12/2022,1,t,,,,,,,,,,,,,,,,,,1,1,,,,
Sourcing PC parts for a hands-on workshop,21/12/2022,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Why visual program design?,26/12/2022,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Why do we want small-o and small-omega?,01/02/2023,1,t,,,,1,,,,,,,,,,,,,,,,,,,
How does the ability to solve a new problem come to a person?,08/02/2023,8,t,,1,,,,,,,1,,,,,,,,,,,,,,
What are ahaslides.com alternatives for interactive polls during a lecture?,10/02/2023,3,t,,,,,,,,,,,,,,,,,,1,,,,,
Is there an online drag-and-drop interactive sort simulator?,13/02/2023,1,t,,,,1,,,,,,,,,,,,,,1,,,,,
How to design an assignment on applications of Formal Verification?,07/03/2023,1,t,,,,,,1,,,,,,,,,,,,,,,,,
What is a motivating example for a cyclic linked list?,22/03/2023,3,t,,,,1,,,,,,,,,,,,,,,,,,,
What is an example of class inheritance in every-day life which is easy to write in an object-oriented language?,27/03/2023,5,t,,,,1,,,,,,,,,,,,,,,,,,,
Computer literacy textbook for first years students in higher education,30/03/2023,1,t,,,,,,,,,,,,,,,,,,1,,,,,
How can we tailor a large language model for educational purposes by incorporating instructional and pedagogical-specific skills and knowledge?,30/03/2023,0,t,,,,,,,,,,,,,,,,,,,,,,,
How can I teach socket programming?,06/04/2023,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Theory of Computing project topics,19/04/2023,3,t,,,,,,1,,,,,,,,,,,,1,,,,,
Resource for short jQuery additions to websites,25/04/2023,3,t,,,,1,,,,,,,,,,,,,,1,,,,,
Parent class variable pointing to Child class,02/05/2023,16,t,,,,1,,,,,,,,,,,,,,,,,,,
Suspicious activity in GitHub Classroom,08/05/2023,0,t,,,,,,,,,,,,,,,,,,,,,,,
Is GitHub Copilot constantly training on private data?,13/05/2023,1,t,,,,,,1,,,,,,,,,,,,,,,,,
How can I unit test a class in a .cs file that is uploaded or otherwise provided to me?,16/05/2023,2,t,,,,,,1,,,,,,,,,,,,,,,,,
When people program with GUIs in a Go-To type fashion?,18/05/2023,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Any experience/resources on teaching computer science theory with a practical approach?,23/05/2023,1,t,,,,1,,,,,,,,,,,,,,1,,,,,
Teaching state transition diagrams to visually impaired (blind) students,25/05/2023,2,t,,1,,1,,,,,,,,,,,,,,,,,,,
What are some teaching examples for a lesson on off-by-one errors which do not involve a for-loop or array indexing in real world?,26/05/2023,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Big Data Analytics for Policy Making with No Math inside,26/05/2023,1,t,,,,1,,,,,,,,,,,,,,,1,,,,
What is a real-world example of a for-loop?,28/05/2023,21,t,,,,1,,,,,,,,,,,,,,,,,,,
What is a real world musical application of linked lists?,28/05/2023,4,t,,,,1,,,,,,,,,,,,,,,,,,,
Non-native English speakers struggle to come up with decent variable names and function names,29/05/2023,10,t,,1,,1,,,,,,,,,,,,,,,,,,,
What Informal Description Might Help Beginning Students Understand Python's `str.strip()` method?,06/06/2023,6,t,,,,1,,,,1,,,,,,,,,,,,,,,
"How would you define the word ""render"" in the vocabulary list, or define ""render"" for a text/exam, for a course on computer science?",06/06/2023,1,t,,,,1,,,,,,,,,,,,,,,,,1,,
Use codewars in class,10/06/2023,2,t,,,,1,,,,,,,,,,,,,,,1,,,,
Good example for a live optimisation exercise,29/06/2023,2,t,,,,1,,,,,,,,,,,,,,,,,,,
Designing of code kata focused on _deleting_ code as a primary goal,11/07/2023,3,t,,,,1,,,,,,,,,,,,,,,,,,,
A video lecture series which explains the modern linux memory management subsystem in detail with code walk through,24/07/2023,0,t,,,,,,,,,,,,,,,,,,1,,,,,
How to teach hardware-software integration to new developers?,08/08/2023,2,t,,,,1,,,,1,,,,,,,,,,,,,,,
Style guide for short comments?,04/10/2023,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Could anyone test and criticize my automaton simulator?,21/10/2023,0,t,,,,,,,,,,,,,,,,,,,,,,,
Simulator or game to teach operating system principles,29/10/2023,0,t,,,,,,,,,,,,,,,,,,1,,,,,
How to teach Godel's incompleteness Theorems?,02/11/2023,0,t,,,,1,,,,,,,,,,,,,,,,,,,
Where can I find some artistically drawn tables demonstrating how a string of text can be stored in ASCII encoding?,04/11/2023,0,t,,,,,,,,,,,,,,,,,,1,,,,,
"The answers to ""Why Are There So Many Programming Languages?"" for high school students, not too pedantic",05/11/2023,1,t,,,,,,,,,,,,,,,,,,1,,,,,
Should a student be allowed to try to answer a question only a few times?,06/11/2023,4,t,,,,,,1,,,,,,,,,,,,,,,,,
Is there an array-like data type in Java that can cope with generic types better than the built-in array?,19/11/2023,1,t,1,,,,,,,,,,,,,,,1,,1,,,,,
"When teaching Java, should I teach try-catch from the outset?",19/11/2023,5,t,,,,1,,,,,,,,,,,,,,,1,,,,
Coding exercises that test memory safety,27/11/2023,1,t,,,,1,,,,,,,,,,,,,,1,,,,,
Teaching a coding language in an interactive way for a school club,06/12/2023,2,t,,,,1,,,,,,,,,,,,,,,,1,,,
"How do I get students to look at course materials, rather than google?",18/12/2023,4,t,,,,1,,,,,,,,,,,,,,,,,,,
How do I use a playground to clone and modify demos from a github repo?,26/12/2023,0,t,,,,1,,,,,,,,,,,,,,,,,,,
How to teach algorithm performances can be measured as O(f)O(f)?,15/01/2024,1,t,,,,1,,,,,,,,,,,,,,,,,,,
Seeking Effective Examples to Teach OOP Concepts Beyond Common Analogies,16/01/2024,5,t,,,,1,,,,,,,,,,,,,,,,,,,
teaching javascript functions,27/01/2024,1,t,,,,1,,,,,,,,,,,,,,,1,,,,
Reference Request: Study on the connection between Abstraction/Theory abilities and Software Engineering Skills,29/01/2024,0,t,,1,,1,,,,,,,,,,,,,,,,,,,
Examples of very easy approximation algorithms,01/02/2024,0,t,,,,1,,,,,,,,,,,,,,1,,,,,
Introduction to product type: motivation and examples,10/02/2024,4,t,,,,1,,,,,,,,,,,,,,1,,,,,
"Navigating New Challenges in CS Education (AI, COVID, Motivations, Grades, Exercices...)",26/02/2024,1,t,,,,1,,,,,1,,,,,,,,,,,,,,
How to present data structure concepts effectively to a blind student?,02/03/2024,2,t,,1,,1,,,,,,,,,,,,,,,,,,,
What strategies can be implemented to prevent students from cheating while completing online assignments?,16/03/2024,1,t,,,,,,1,,,,,,,,,,,,,,,,,
How long would it take an average theoretical computer scientist to learn Python to prepare for learning machine learning?,17/03/2024,1,t,,,,,,,,,,,,,,,,,,,1,,,,
MOSS flags boilerplate code as similar in some pairs but not flagged in other pairs,22/03/2024,0,t,,,,,,1,,,,,,,,,,,,,,,,,
Are jUnit or TestNG simple enough for undergraduates to apply in a matter of weeks? What alternative?,23/03/2024,3,t,,1,,,,,,,,,,,,,,,,1,,,,,
Best beginner language for a basic course,10/04/2024,5,t,,,,,,,,,,,,,,,,,,,1,,,,
Resources/material for developing a course on assembly programming,10/04/2024,1,t,,,,,,,,,,,,,,,,,,,1,,,,
How would you explain to a layman what the parser (the part of the compiler or intepreter) is?,30/04/2024,3,t,,,,1,,,,,,,,,,,,,,,,,,,
In teaching introductory databases to graduates and undergraduates how would you differentiate in exams/assignments?,27/05/2024,0,t,,1,,,,1,,,,,,,,,,,,,,,,,
"Automating grading of projects with OOP and unit tests, but without imposing rigid design requirements",10/06/2024,2,t,,,,,,1,,,,,,,,,,,,,,,,,
How to prevent students from using AI?,09/08/2024,5,t,,,,,,1,,,,,,,,,,,,,,,,,
Hands-on task to demystifying AI for high schooler,15/08/2024,2,t,1,,,1,,,,,,,,,,,,,,,,,,,
"Immediate feedback in Gradescope, without gaming",22/08/2024,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Using IDEs with built-in AI code assistance for introductory courses,03/09/2024,3,t,,,,1,,,,,,,,,,,,,,,,,,,
What are the ideal textbooks and other resources to use when teaching Internet of things to Undergraduates?,07/09/2024,0,t,,,,,,,,,,,,,,,,,,1,,,,,
Ideas for exercise in parsing and compilers?,06/10/2024,4,t,,1,,1,,,,,,,,,,,,,,1,,,,,
How important is relational algebra in 2024?,23/10/2024,1,t,,,,,,,,,,,,,,,,,,,1,,,,
How can I teach Functional Programming and Verification,15/11/2024,3,t,1,,,1,,,,,,,,,,,,,,1,,,,,
"How is this possible - code submission with multiple syntax errors, but otherwise works?",18/11/2024,1,t,,,,,,1,,,,,,,,,,,,,,,,,
Didactic tool to play with deterministic and nondeterministic finite automata,11/12/2024,2,t,,,,,,,,,,,,,,,,,,1,,,,,
Uncomputability and Uncountability,29/12/2024,0,t,,,,1,,,,,,,,,,,,,,,1,,,,
Equivalent of PISA study for standardised assessment of skills on computational thinking and programming?,06/11/2017,2,t,,,,,,1,,,,,,,,,,,,,,,,,
