Days,sentiment
0,-1
0,1
0,2
0,1
0,1
1,1
1,-1
1,1
1,1
1,0
3,1
3,-1
4,0
4,1
5,-2
5,-1
7,1
7,0
7,-1
9,1
10,1
10,1
11,0
11,-1
11,1
12,0
13,1
14,-1
15,1
15,1
15,2
15,1
15,0
16,1
16,-2
17,1
17,1
19,1
20,1
24,0
24,-1
24,1
26,1
26,1
26,1
28,-1
29,1
30,-1
30,1
31,1
33,-1
33,-1
34,-1
35,1
36,1
36,1
37,1
37,1
38,1
39,-2
40,1
40,1
40,1
40,1
41,1
41,0
41,1
41,1
42,1
43,0
43,1
43,2
44,1
45,-1
45,2
45,1
46,1
46,-1
48,1
48,1
48,1
48,0
48,3
48,1
49,1
49,0
51,1
53,1
54,1
55,-1
58,-1
59,1
63,1
64,-1
65,-1
67,-1
70,1
70,1
71,1
71,1
72,1
72,0
73,1
74,1
74,1
78,-1
78,-2
80,1
85,1
85,-1
86,1
90,1
94,1
95,1
97,-1
98,-1
98,1
100,-1
101,-1
101,1
102,1
104,-1
105,1
111,1
113,1
120,1
121,-1
125,-1
126,-1
127,1
134,-1
135,1
137,1
139,-1
143,1
143,-1
149,0
150,-1
151,1
153,0
153,2
160,1
161,2
163,-1
163,0
164,-1
168,0
170,-1
175,-1
175,1
190,0
190,1
199,1
204,-1
210,1
210,2
214,0
218,0
219,3
226,1
231,1
239,1
241,1
244,1
245,1
245,-1
251,1
253,-1
260,2
261,1
265,-1
266,1
266,1
274,-1
277,-1
278,-1
281,-1
288,1
290,-1
294,-1
296,1
297,1
300,0
300,1
308,-1
321,1
322,5
329,1
338,0
342,1
343,1
348,-1
349,-2
351,0
354,-1
359,1
374,-2
384,-1
407,1
411,1
434,1
479,2
486,-2
491,0
501,1
513,1
518,1
531,1
535,1
540,-2
552,-3
552,1
559,1
566,-1
567,1
597,-1
627,1
632,-1
637,-1
645,0
653,-2
667,1
668,1
676,-1
682,1
686,-1
702,1
707,1
711,1
714,-1
715,-1
723,1
728,0
735,-1
737,1
741,1
747,-1
750,-1
767,1
777,1
799,-1
818,1
843,1
849,1
853,1
858,1
884,-1
889,-1
895,-1
897,2
897,-1
928,1
934,-1
942,1
956,-1
960,1
966,1
976,0
992,1
993,1
1002,1
1006,1
1022,-1
1022,1
1029,1
1039,-1
1039,-1
1043,-1
1050,0
1052,-2
1063,1
1065,0
1086,0
1103,-1
1112,1
1149,-1
1150,-1
1156,1
1165,1
1196,2
1197,-1
1200,-1
1206,2
1210,1
1220,0
1273,-1
1297,-1
1308,1
1328,1
1342,1
1352,1
1366,-1
1370,1
1397,-1
1420,1
1434,1
1458,-1
1459,-1
1468,1
1486,1
1487,1
1490,1
1498,1
1511,1
1528,1
1564,1
1600,1
1611,-1
1642,1
1665,-1
1694,1
1730,-2
1853,1
1868,1
1897,0
1930,0
2087,-1
2092,-1
2134,0
2176,-1
2193,-2
2194,-1
2197,0
2228,1
2253,1
2342,-1
2357,-1
2429,1
2445,1
2475,0
2489,-1
2575,-2
2664,1
2710,1
2736,0
-139,1
-137,-1
-97,-1
-92,-2
-84,0
-82,1
-81,0
-81,0
-78,1
-77,1
-74,1
-70,-3
-68,0
-64,1
-59,-1
-58,-1
-56,1
-55,1
-49,1
-35,-1
-20,1
-17,1
-16,-1
-14,1
-14,-1
-10,2
-8,-1
-6,1
-1,-2
2,-1
15,2
17,1
25,-1
27,-1
29,1
35,-1
39,-1
41,-1
41,1
41,1
47,1
49,1
51,-1
55,-1
62,1
62,-1
65,-1
66,1
76,1
77,1
78,-1
83,-1
97,-1
99,1
107,1
110,1
111,-1
116,1
132,-1
133,-1
134,-1
141,-1
141,-1
148,1
152,1
152,1
152,1
155,-2
164,-1
164,1
165,-1
167,-1
176,-2
181,1
182,-2
185,1
187,-1
188,-1
191,1
192,-1
194,1
196,-1
198,1
199,1
202,0
217,-1
218,2
218,-2
221,-1
230,-1
235,1
237,-1
245,-1
245,1
262,-1
265,0
266,-2
269,-1
275,1
275,2
280,0
283,-1
285,1
286,-1
287,0
290,1
296,1
297,0
300,-1
302,1
304,1
304,1
306,-1
307,-1
316,-1
316,-1
319,1
322,1
331,0
339,2
345,0
356,1
359,-1
359,1
360,-1
369,1
381,1
383,0
386,1
390,-1
391,-1
398,1
400,0
400,-1
403,1
408,0
416,1
420,-1
423,1
434,-2
435,1
450,1
457,-1
457,1
463,0
464,1
465,-1
471,-1
478,2
479,-1
481,1
490,-1
504,-1
509,-1
509,0
511,-2
512,-1
527,-1
528,-1
528,-1
529,-1
532,1
538,1
541,0
542,1
544,-1
550,1
556,0
559,-2
566,0
573,2
573,1
573,-1
578,0
582,1
582,1
583,-1
585,-1
586,-1
587,-1
598,0
605,1
610,-1
611,1
611,1
611,-1
616,1
617,-1
618,1
622,1
626,-1
627,1
633,1
635,0
638,-1
639,-1
648,-2
648,1
649,1
662,1
667,-1
673,1
673,2
674,1
684,-1
686,2
687,1
692,-1
694,0
694,-1
703,1
707,1
708,-1
709,2
710,-1
710,-1
711,0
712,-1
716,1
717,-1
723,1
727,-1
728,-3
734,1
735,0
745,1
762,-1
763,2
764,1
772,-1
797,1
806,-1
813,-1
815,-1
823,1
831,1
832,-1
832,-3
832,1
833,-1
839,1
842,2
853,1
854,1
855,-2
861,-1
862,-1
866,-1
869,-1
872,-1
889,-2
890,-1
894,-1
896,-1
903,1
906,1
910,-2
911,-1
912,-1
915,0
916,1
920,-1
921,-1
934,-1
947,-1
948,2
956,1
961,-1
966,1
967,1
971,-1
974,-1
983,-2
988,-1
992,-1
997,1
997,-1
1000,-1
1000,-1
1001,2
1006,-1
1006,1
1007,-1
1014,1
1017,1
1022,1
1029,1
1029,2
1030,0
1045,1
1057,1
1057,-2
1065,1
1072,-1
1077,1
1079,1
1080,1
1081,-1
1086,-1
1095,-1
1105,1
1107,1
1120,1
1122,-1
1126,-1
1133,1
1141,1
1143,-1
1143,1
1144,1
1145,1
1147,1
1155,-2
1168,-1
1169,1
1170,-1
1180,2
1190,1
1192,1
1194,1
1199,-1
1200,-2
1201,-1
1202,1
1203,1
1203,1
1204,-1
1213,-1
1214,1
1221,-1
1226,1
1226,-2
1230,-1
1233,-1
1233,0
1233,-1
1235,1
1237,1
1247,-1
1248,1
1250,1
1256,0
1283,-1
1284,3
1286,1
1286,1
1288,-1
1305,-2
1323,-1
1338,-1
1339,1
1345,0
1352,-1
1367,-1
1368,1
1372,1
1374,1
1377,2
1378,-1
1378,1
1383,-1
1388,1
1396,1
1398,1
1406,1
1410,-1
1410,0
1411,1
1412,1
1423,-1
1425,-1
1427,1
1433,2
1433,0
1438,-1
1448,1
1450,-2
1459,-1
1470,-1
1472,1
1474,1
1476,-1
1479,1
1485,1
1487,1
1490,1
1491,1
1502,-1
1513,1
1513,-2
1534,-1
1549,0
1551,-1
1553,1
1557,1
1563,-1
1566,-1
1567,-1
1570,1
1571,1
1571,-1
1573,1
1593,0
1595,-2
1595,1
1599,-2
1600,-1
1605,1
1612,2
1618,-1
1624,-1
1630,-1
1631,2
1632,1
1634,1
1634,0
1636,-1
1653,-1
1655,2
1658,-1
1663,0
1669,-1
1675,0
1684,1
1684,1
1686,1
1691,-1
1696,-2
1701,-1
1702,1
1708,1
1722,1
1729,1
1730,-4
1731,-1
1732,1
1733,-2
1735,1
1735,1
1743,-2
1755,-1
1757,1
1759,1
1767,0
1798,-1
1798,-2
1799,1
1799,2
1804,0
1822,1
1850,-1
1850,1
1856,-1
1861,-1
1891,-1
1893,1
1903,1
1903,-1
1905,0
1907,-1
1909,1
1910,1
1920,-1
1921,1
1937,-1
1939,-1
1958,-1
1971,1
1972,-1
1975,1
1976,0
1987,1
1991,-1
1993,-1
1997,1
1999,0
2000,0
2001,-1
2009,1
2009,-1
2011,0
2029,-1
2036,-1
2050,-2
2056,-2
2059,0
2068,-1
2072,1
2073,-1
2074,-1
2076,-1
2091,-1
2094,-1
2100,-1
2104,-1
2116,1
2117,1
2123,1
2126,0
2127,-1
2132,-2
2133,-1
2135,-1
2140,0
2154,-1
2157,0
2158,-1
2161,0
2162,1
2178,1
2179,0
2181,1
2184,-1
2185,1
2188,1
2191,1
2218,1
2228,1
2237,1
2242,1
2245,-1
2258,2
2271,-1
2279,-1
2281,-2
2283,1
2287,1
2287,1
2289,1
2292,1
2292,1
2294,-1
2302,-1
2304,-1
2314,1
2325,-2
2327,1
2330,2
2331,-1
2337,-1
2340,1
2342,-3
2344,1
2345,1
2348,-2
2357,2
2360,-1
2362,-1
2368,-3
2370,-2
2379,0
2387,-1
2389,-1
2392,1
2396,1
2400,1
2415,-2
2416,1
2417,-2
2419,1
2429,1
2431,1
2438,1
2438,1
2444,1
2450,-1
2453,-1
2454,-1
2458,0
2464,1
2465,-1
2468,1
2472,-1
2479,1
2480,-1
2481,-1
2487,-1
2496,1
2500,2
2502,-2
2503,0
2508,1
2509,1
2515,1
2518,-2
2530,1
2538,-1
2540,1
2543,1
2544,-1
2544,1
2545,1
2550,-1
2550,1
2560,1
2567,2
2602,-1
2609,1
2611,1
2612,1
2626,-1
2636,2
2667,2
2689,1
2698,-2
2698,1
2711,1
2716,-1
2726,-1
2755,1
2756,1
2758,0
2764,-1
2767,0
792,-1
